ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0045619	regulation of lymphocyte differentiation	5/60	175/18862	0.000234694353749733	0.205210499455538	0.179377598785388	PCK1/INPP5D/GAS6/SOX12/DTX1	5
BP	GO:0045621	positive regulation of lymphocyte differentiation	4/60	101/18862	0.000300015350081196	0.205210499455538	0.179377598785388	PCK1/INPP5D/GAS6/SOX12	4
CC	GO:0005884	actin filament	4/63	113/19520	0.000487504596796062	0.0603019172581452	0.0502225337488311	DPYSL3/PDLIM4/ACTB/GNG12	4
CC	GO:0060198	clathrin-sculpted vesicle	2/63	12/19520	0.000662658431408189	0.0603019172581452	0.0502225337488311	SYT1/GAD1	2
CC	GO:0072562	blood microparticle	4/63	146/19520	0.00127044351433752	0.0770735732031427	0.0641908301981061	C4BPA/ANGPTL4/ACTB/MSN	4
CC	GO:0030027	lamellipodium	4/63	196/19520	0.00369972312038501	0.124258365409364	0.103488748519077	DPYSL3/PDLIM4/CD44/ACTB	4
CC	GO:0098686	hippocampal mossy fiber to CA3 synapse	2/63	30/19520	0.00420724689728518	0.124258365409364	0.103488748519077	SYT1/EFNB3	2
CC	GO:0031941	filamentous actin	2/63	32/19520	0.00477738672713731	0.124258365409364	0.103488748519077	DPYSL3/PDLIM4	2
CC	GO:0098793	presynapse	6/63	487/19520	0.00477916790036016	0.124258365409364	0.103488748519077	SYT1/SV2B/GAD1/EFNB3/ACTB/HCN3	6
CC	GO:0044306	neuron projection terminus	3/63	130/19520	0.00856856266397358	0.188181145458815	0.156726922765005	SYT1/GAD1/HCN3	3
CC	GO:0031674	I band	3/63	134/19520	0.00930566103917217	0.188181145458815	0.156726922765005	PDLIM4/ANKRD2/NEBL	3
CC	GO:0005912	adherens junction	3/63	172/19520	0.0181462331379424	0.228242954959774	0.190092455258574	PDLIM4/CDC42EP1/ACTB	3
CC	GO:0001725	stress fiber	2/63	64/19520	0.0181765590574615	0.228242954959774	0.190092455258574	PDLIM4/NEBL	2
CC	GO:0097517	contractile actin filament bundle	2/63	64/19520	0.0181765590574615	0.228242954959774	0.190092455258574	PDLIM4/NEBL	2
CC	GO:0032432	actin filament bundle	2/63	73/19520	0.0232603754699441	0.228242954959774	0.190092455258574	PDLIM4/NEBL	2
CC	GO:0042641	actomyosin	2/63	74/19520	0.0238574928001895	0.228242954959774	0.190092455258574	PDLIM4/NEBL	2
CC	GO:0030136	clathrin-coated vesicle	3/63	192/19520	0.0241708068538669	0.228242954959774	0.190092455258574	SYT1/GAD1/SFTPA2	3
CC	GO:0030017	sarcomere	3/63	203/19520	0.0278922609534524	0.228242954959774	0.190092455258574	PDLIM4/ANKRD2/NEBL	3
CC	GO:0016323	basolateral plasma membrane	3/63	211/19520	0.0307801807362591	0.228242954959774	0.190092455258574	CD44/MSN/HPGD	3
CC	GO:0031080	nuclear pore outer ring	1/63	10/19520	0.0318170889176692	0.228242954959774	0.190092455258574	NUP85	1
CC	GO:0070382	exocytic vesicle	3/63	215/19520	0.0322812002319388	0.228242954959774	0.190092455258574	SYT1/DPYSL3/SV2B	3
CC	GO:0005902	microvillus	2/63	91/19520	0.0349331044453298	0.228242954959774	0.190092455258574	CD44/MSN	2
CC	GO:0030016	myofibril	3/63	224/19520	0.035796849181507	0.228242954959774	0.190092455258574	PDLIM4/ANKRD2/NEBL	3
CC	GO:0031680	G-protein beta/gamma-subunit complex	1/63	12/19520	0.0380598978248277	0.228242954959774	0.190092455258574	GNG12	1
CC	GO:0042583	chromaffin granule	1/63	12/19520	0.0380598978248277	0.228242954959774	0.190092455258574	SYT1	1
CC	GO:0043292	contractile fiber	3/63	231/19520	0.0386628562871904	0.228242954959774	0.190092455258574	PDLIM4/ANKRD2/NEBL	3
CC	GO:0001931	uropod	1/63	13/19520	0.0411664298341071	0.228242954959774	0.190092455258574	MSN	1
CC	GO:0016580	Sin3 complex	1/63	13/19520	0.0411664298341071	0.228242954959774	0.190092455258574	HDAC1	1
CC	GO:0031254	cell trailing edge	1/63	13/19520	0.0411664298341071	0.228242954959774	0.190092455258574	MSN	1
CC	GO:0009925	basal plasma membrane	3/63	240/19520	0.042515349862101	0.228242954959774	0.190092455258574	CD44/MSN/HPGD	3
CC	GO:0031252	cell leading edge	4/63	411/19520	0.0436684964460677	0.228242954959774	0.190092455258574	DPYSL3/PDLIM4/CD44/ACTB	4
CC	GO:0030672	synaptic vesicle membrane	2/63	103/19520	0.0437277441230664	0.228242954959774	0.190092455258574	SYT1/SV2B	2
CC	GO:0099501	exocytic vesicle membrane	2/63	103/19520	0.0437277441230664	0.228242954959774	0.190092455258574	SYT1/SV2B	2
CC	GO:0060077	inhibitory synapse	1/63	14/19520	0.0442630882090727	0.228242954959774	0.190092455258574	GAD1	1
CC	GO:0005925	focal adhesion	4/63	416/19520	0.0453055973271129	0.228242954959774	0.190092455258574	CDC42EP1/CD44/ACTB/MSN	4
CC	GO:0005779	integral component of peroxisomal membrane	1/63	15/19520	0.0473499038269767	0.228242954959774	0.190092455258574	PEX26	1
CC	GO:0016581	NuRD complex	1/63	15/19520	0.0473499038269767	0.228242954959774	0.190092455258574	HDAC1	1
CC	GO:0031231	intrinsic component of peroxisomal membrane	1/63	15/19520	0.0473499038269767	0.228242954959774	0.190092455258574	PEX26	1
CC	GO:0090545	CHD-type complex	1/63	15/19520	0.0473499038269767	0.228242954959774	0.190092455258574	HDAC1	1
CC	GO:0030055	cell-substrate junction	4/63	423/19520	0.0476551224641287	0.228242954959774	0.190092455258574	CDC42EP1/CD44/ACTB/MSN	4
MF	GO:0016831	carboxy-lyase activity	3/63	35/18337	0.000233867489550158	0.0540233900860865	0.0440655585573456	PCK1/GAD1/PISD	3
MF	GO:0016830	carbon-carbon lyase activity	3/63	51/18337	0.000715569595847758	0.0680909985513161	0.0555401628648238	PCK1/GAD1/PISD	3
MF	GO:0031005	filamin binding	2/63	13/18337	0.000884298682484625	0.0680909985513161	0.0555401628648238	DPYSL3/NEBL	2
MF	GO:0061629	RNA polymerase II-specific DNA-binding transcription factor binding	5/63	271/18337	0.0023746212998	0.13713438006345	0.111857161227421	NHLH2/HDAC1/ANKRD2/ACTB/CRX	5
MF	GO:0005200	structural constituent of cytoskeleton	3/63	103/18337	0.00535410955536246	0.172854422755861	0.140993126786508	NEFM/ACTB/MSN	3
MF	GO:0015248	sterol transporter activity	2/63	34/18337	0.00607180880284978	0.172854422755861	0.140993126786508	OSBPL7/CETP	2
MF	GO:0019213	deacetylase activity	2/63	36/18337	0.00678863042832703	0.172854422755861	0.140993126786508	NDST3/HDAC1	2
