Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-DK-AA74-01A-11R-A39I-07	0.000743840773700256	0	0.0254509947829376	0.0894246357090741	0	0.0815272078349253	0.0520609077796283	0.0330843666564493	0.0366829493081261	0	0	0.0458637814820756	0	0.167766228655052	0.146158130777017	0.203107186267279	0.0378225967331541	0	0.071716084187503	0	0	0.00859108905307817	0	0.466757164544277	0.883512452657461
TCGA-DK-A3IM-01A-11R-A20F-07	0	0	0	0.0464755599417852	0	0.102776743769668	0	0.0801458051445366	0.0117826598393495	0	0	0	0	0.610822532079025	0.0531597158983902	0.0159493913983523	0	0	0	0.0649404730478742	0	0.0139471188810191	0.01	0.259659339612639	1.05005795166575
TCGA-GU-A42P-01A-11R-A23W-07	0.165187886145595	0	0	0.0203966841659802	0	0.130227186532851	0	0.0169972722723157	0.231465112736366	0	0	0.0491341194431416	0.00533963220857085	0.119026608719732	0	0	0	0.196772840761307	0.06545265701414	0	0	0	0.76	-0.00840521503876615	1.10180840203752
TCGA-4Z-AA7W-01A-11R-A39I-07	0	0	0.0402846750681183	0.397804158416001	0	0	0.0612958068864737	0.0853078467611688	0.00566267281688918	0	0.0744121600579284	0.088298166249307	0.0027720344824452	0.0088396407399004	0.0719485539806716	0.0883015916435886	0.00846730985974019	0.0470150803824864	0.0195903026552812	0	0	0	0	0.515171504691602	0.858356659720543
TCGA-DK-A1AD-01A-11R-A13Y-07	0.034227055915966	0	0.0182665080196936	0.159767735092305	0	0	0.111582033587538	0.012322490841795	0.0795295831723359	0.0171019296642624	0	0.0279629720195501	0.017149768303796	0.0476918303030694	0.185479441861778	0.137863973520093	0.0414663272626883	0.0149958216449057	0.0945925287902226	0	0	0	0.0600000000000001	0.152911717646971	1.03752263070044
TCGA-E7-A7DV-01A-11R-A33J-07	0	0	0	0.010137244006716	0	0.118220278831159	0.0187191280311707	0	0.00486374802678471	0	0.00608818289667377	0.00246047233504347	0.0555904142586441	0.260683385726716	0.0747185614068749	0.440444501065321	0	0	0.00807408341489577	0	0	0	0	0.339897956496895	0.971286966811264
TCGA-R3-A69X-01A-22R-A30C-07	0.0532328175921788	0	0.0325184715088451	0.0752945659808282	0	0.127775824939629	0.0473242248647571	0.0174083787851983	0.0647959827707211	0	0	0.0715202151486623	0.0425171015485422	0	0.0426011014558152	0.191699748069682	0.101709735950306	0.0113901433630078	0.112625286928345	0	0.00758640109348247	0	0.02	0.187334235958038	1.00154219121331
TCGA-BT-A0S7-01A-11R-A10U-07	0.0357486995611158	0.0125554213599651	0.0215705150594829	0.0921537596895464	0	0.143190779370455	0	0.0749167545410081	0	0	0	0	0	0.186860866541046	0.0332809817623156	0.302243995537391	0.0616349709499993	0	0	0.0211711326954828	0	0.0146721229321924	0.26	0.0660467917369201	1.07589595167024
TCGA-FD-A6TK-01A-42R-A33J-07	0.00418513009710927	0	0.0538766944360659	0.173819702706301	0	0.0917694555010229	0.108499664302157	0.0298001205403113	0.00877237027044644	0	0	0.061121860815688	0.00397348064135745	0	0.130175880227614	0.231054653209778	0.000790749123326182	0.0348748934554571	0.0669789810137103	0	0	0.000306363659655138	0	0.359965610551243	0.936903042107909
TCGA-DK-A1A3-01A-11R-A13Y-07	0.040654227717264	0	0.072866189901764	0.110047997188449	0	0.117065587369996	0.03690826741961	0.029544045242026	0.00256501913632305	0	0	0.0533785737815322	0.00530548478438671	0.0985651372170682	0.0763654063389009	0.202421040709585	0.0162839369710359	0.029356087453311	0.108672998768748	0	0	0	0.07	0.149015613257616	1.02000332607341
TCGA-CF-A27C-01A-11R-A16R-07	0	0	0.0711279010334104	0.0944823350265842	0	0.291403939666926	0	0.0497297003694191	0.155989833590251	0.0966078419920764	0	0.0175007023952858	0.00364547548982787	0	0	0.0187507929418451	0.141309216484997	0.0449287735694182	0	0	0	0.014523487439959	0.65	0.00277924240502192	1.11309520862965
TCGA-XF-A9SK-01A-11R-A42T-07	0	0	0.0604359442647987	0.0760581560818453	0	0.159215364076154	0	0.00268801211780191	0.11603632149645	0	0	0.060419843114159	0.0192059261059876	0.0191026846229087	0.097929349360258	0.225804097444073	0.0485799754550202	0.0432675970872898	0.0678544496819268	0	0	0.00340227909132671	0.01	0.249181479189481	0.983225506890197
TCGA-CF-A47X-01A-31R-A23W-07	0.00453728711915158	0	0.0228298563687134	0.138007264003917	0	0	0	0.0703529958455967	0.148174538600687	0	0	0.0226356514861346	0	0.121497718858928	0	0.168641778651909	0.0673112114162805	0.225679728613253	0	0.00823416900181057	0	0.00209780003361842	0.74	-0.00584531036148128	1.10547824886422
TCGA-K4-A5RI-01A-11R-A28M-07	0	0	0.0406730610189277	0.0124382899643772	0	0.191820586091719	0	0.0277340813166094	0.0051882619897299	0	0.03204529431011	0.154414062018776	0.00455608359609382	0.0272896731363361	0.00582017384701096	0.117454676735149	0.183415824640744	0.013648619884184	0.183501311450234	0	0	0	0.02	0.192620843606847	1.01435202874469
TCGA-GV-A40E-01A-12R-A23N-07	0	0	0	0.169447552964874	0	0	0.102186120030838	0.0202714376927153	0.00240729485115028	0	0.04387832531708	0	0.00106729135042522	0.194347428839666	0.00850538918893144	0.147605760580032	0	0.196484188657372	0	0.0857841039028494	0	0.0280151066240672	0.07	0.14804071538139	1.04430866287913
TCGA-YF-AA3M-01A-11R-A42T-07	0	0	0.0736425999683818	0.0888905968655912	0	0	0	0.0497474895038336	0.0451050944696057	0	0.0138187164064644	0	0	0.220169643732498	0	0.181962852748679	0.0138475252707267	0.157407958381715	0	0.132924834142241	0.0185589729435474	0.00392371556671685	0.32	0.0464471527374521	1.08928387380466
TCGA-GU-A764-01A-11R-A352-07	0	0	0.137702817002627	0.0834603823685917	0	0.173798288263656	0	0.0315334754212291	0.00219002844851556	0	0	0.091449762515369	0.000387931993670817	0.05357690810462	0.17214389908737	0.134261984690891	0.0472314441115337	0	0.0722630779919266	0	0	0	0	0.387385627625492	0.923900063046775
TCGA-G2-A2ES-01A-11R-A180-07	0.000124560500439495	0	0	0.0930356175818679	0	0.145883840807831	0.0517881157713061	0.0384248180640028	0.0196771182660081	0	0.0268459007638874	0.0171251437736224	0	0.251294774538452	0.090113399418023	0.151604719446003	0	0.0948888433914522	0.00871274682166291	0	0.0104804008554415	0	0.01	0.262645074751344	0.992019210872389
TCGA-FD-A62N-01A-11R-A30C-07	0.0247637367343251	0	0.036526958815299	0.234829856872346	0	0.0954690190045348	0.0751516366639724	0.0169968451956503	0.0273253778876257	0	0	0.021651521572663	0.000513920765637125	0.0772726261768868	0.163389488778144	0.130790858819702	0.035121259848865	0	0.0577710540904473	0	0	0.00242583877390231	0	0.562040621614306	0.831382374311486
TCGA-ZF-AA56-01A-31R-A39I-07	0.0228132296681055	0	0.143606548126542	0.0399829148054379	0	0.170868524356321	0.0247514527888788	0.0177056128355593	0.0483807804460705	0	0	0.0193460982864808	0.0201442295563303	0.0240083261948303	0.0491460171142926	0.172148662895797	0.0448655561614244	0.0342362289623953	0.0759144505767319	0	0.042276962881763	0.0498044043430395	0.01	0.267221136185497	0.966819918521767
TCGA-XF-AAMH-01A-11R-A42T-07	0.0558956876113389	0	0.0130871807547191	0.20453734274473	0	0	0.0227465111434246	0.0255962678051262	0.0786279429409144	0	0.0164005351839426	0	0.00295409282395901	0.384035551649103	0.00830277952808833	0.165776108856607	0.00371334780102229	0.0113508855754124	0	0.00697576558161249	0	0	0.28	0.0581927765395049	1.10498171734948
TCGA-YC-A9TC-01A-22R-A39I-07	0.0144799276077647	0	0	0.118179995766089	0	0.064946275524235	0	0.032625764806467	0.0611290426220501	0	0	0.152735393684338	0	0.11004563353451	0	0.209529356897948	0	0.0369189568122892	0	0.199311192718262	9.84600260468103e-05	0	0.27	0.0635854162915721	1.10992341989601
TCGA-4Z-AA87-01A-11R-A39I-07	0.0128684732662963	0	0.187114287241787	0.213992255552311	0	0	0.0919302349149681	0.0266622693928229	0.00741943423486213	0.0239328848081406	0	0.0127612371364254	0.00702733789046487	0.055056005330427	0.0982120417954644	0.159101255777691	0.0773554721455069	0	0	0.0191187084240828	0.00744810208875012	0	0.0600000000000001	0.156287803884089	1.01477696939024
TCGA-FD-A43U-01A-11R-A23W-07	0.004440655509384	0	0.0539065265083713	0.1186460126215	0	0.0140054345072383	0.0361785887741845	0.0060185925463117	0.0762203739278233	0	0.0181918282015385	0	0.0538775402000958	0.489668291710773	0.0246260233508072	0.0767228833952986	0	0	0.0274972487466736	0	0	0	0	0.676965917016958	0.744062406964823
TCGA-XF-A9SM-01A-11R-A42T-07	0.0226872038605473	0	0.0217608667549071	0.239826268824133	0	0.0145848489592946	0.158687604441116	0.0372007437271891	0.02200702051426	0	0.0344072819101129	0	0.0368245604303128	0.0843080251700162	0.0776253608509097	0.216012698230275	0.00412554760483817	0	0.0287029025591812	0	0	0.00123906616290651	0	0.445823919250583	0.894484979234997
TCGA-G2-A2EF-01A-12R-A18C-07	0.0193726543174486	0	0.0223441986209868	0.201620155723961	0	0.0318901511288422	0.230049372925957	0	0	0	0.0581094544982545	0.0268798225575188	0.0019081447608055	0.0768932298312941	0.128091534119355	0.155157872316474	0.0476834091991019	0	0	0	0	0	0.01	0.228783673444338	1.00199754946902
TCGA-KQ-A41N-01A-11R-A33J-07	0.137876022304643	0	0.145577438813446	0.0468650403755128	0	0.078908514825111	0	0.0423591918523163	0.0730710592717843	0	0	0.0496145402715984	0.00844458802681824	0.106006648594881	0	0.117540509338776	0.0292352180793812	0.100771515319983	0.0637297129257481	0	0	0	0.64	0.00379559385684366	1.06264186870629
TCGA-G2-A3IE-01A-11R-A20F-07	0	0.005778620826306	0.224633792778046	0.0479823850964081	0	0.150053205599259	0	0.0854714758065222	0.134983101261958	0	0.0280110846466953	0	0.00699019442978024	0	0	0.240514331302624	0	0.0631061087276659	0	0.0124756995247353	0	0	0.14	0.103737632112357	1.03369724865508
