gene_name,Model1_count,Model2_count,Model3_count,Positive1_count,Positive2_count,Positive3_count
Zranb2,2148,1057,1201,1517,1108,877
Lrriq3,7,8,8,5,3,1
Dnase2b,0,0,0,0,0,0
Adgrl2,60,34,65,43,35,25
Rpf1,629,535,638,385,417,345
Uox,1,0,0,0,0,0
Ctbs,552,783,742,811,1297,927
Spata1,241,262,220,348,313,309
Gm43450,0,0,0,0,0,0
Gm19261,0,0,0,0,0,2
Ptprh,1,0,0,0,0,0
Mageb4,0,0,0,0,0,0
Fam170a,0,0,0,0,0,0
Sap30bp,537,403,553,251,325,193
Recql5,682,468,775,513,546,361
Itgb4,14,3,9,3,2,1
Ahnak,41695,23737,24723,14035,12059,12576
Nlrp1a,480,341,308,262,257,187
Atp6v0d2,138,147,123,89,139,173
Cdk10,228,111,286,143,174,105
Abcf1,1629,1018,1810,714,752,555
Fgg,0,0,0,0,0,0
Sat2,3,3,3,4,0,0
Tgs1,1860,1403,1579,1137,1277,1032
Tmem68,666,662,609,514,571,445
Sdr16c5,0,0,0,0,0,0
Rps20,1724,1576,1640,769,935,619
Olfr779,0,0,0,0,0,0
Ackr2,1,2,0,1,0,3
Agtr2,0,0,0,0,0,0
Pofut1,1293,1087,1501,937,1248,991
Obox3-ps8,0,0,0,0,0,0
Nop56,1725,1018,1605,734,866,600
Snrpb,960,570,995,325,406,222
Olfr1101,0,0,0,0,0,0
Idh3b,1196,803,1309,549,629,444
Tgm3,3,6,1,6,0,1
Pdyn,0,0,0,0,0,0
Tgm6,0,0,0,0,0,0
Olfr1098,0,0,0,0,0,0
Olfr1099,0,0,0,0,0,0
4933415F23Rik,0,0,0,2,0,0
Stk4,5859,4758,6254,3847,5401,3707
Cnr1,24,0,2,4,8,1
Pgam1-ps1,0,0,1,0,0,0
Olfr221,0,0,0,0,0,0
RP23-60P18.10,8,4,6,13,3,5
Chrd,3,0,1,0,0,0
Gm13299,0,0,0,0,0,0
Gm12976,0,0,0,0,0,0
C030037D09Rik,28,7,16,10,2,9
Gm15202,0,0,0,0,0,0
Gm13647,0,0,0,0,0,0
1500017E21Rik,0,3,0,0,0,0
Ccdc142os,25,20,11,19,17,17
Defb50,0,0,0,0,0,0
Tmed9,1090,710,1361,298,437,215
Gm5600,2,1,3,1,1,0
Gm26802,0,0,0,0,0,0
Gm829,0,0,0,0,0,0
AA474408,80,73,63,61,65,56
AC125149.3,0,0,0,0,0,0
Cast,1446,1425,1730,1398,1806,1373
Rhobtb3,103,60,55,56,56,34
AC168977.1,1,1,0,14,1,0
Gm17249,35,52,51,55,40,29
Vwa3a,0,2,1,5,0,0
Rrp8,191,137,259,135,99,122
4930579M01Rik,0,0,0,0,0,0
Zfp652os,0,0,0,2,1,0
Gm13571,0,0,1,0,0,1
Gm13976,0,0,0,0,0,0
Gm16329,0,0,0,0,0,0
Arfip2,508,337,447,366,279,250
Ppp6c,1403,1598,1759,1524,1847,1382
Psmb7,1434,1297,1216,899,1027,811
