,TCGA-DD-A11D-01A-11R-A131-07,TCGA-DD-AACT-01A-11R-A41C-07,TCGA-G3-AAUZ-01A-11R-A38B-07,TCGA-EP-A26S-11A-12R-A16W-07
ENSG00000000003,2250,1450,2136,5321
ENSG00000000005,4,1,3,1
ENSG00000000419,512,889,569,1144
ENSG00000000457,506,595,304,510
ENSG00000000460,95,210,95,146
ENSG00000000938,58,137,112,445
ENSG00000000971,54287,87694,21110,61765
ENSG00000001036,1953,2345,862,4046
ENSG00000001084,1761,2306,1835,5744
ENSG00000001167,346,439,338,562
ENSG00000001460,66,149,150,97
ENSG00000001461,185,220,299,390
ENSG00000001497,944,537,1382,1292
ENSG00000001561,1497,730,192,474
ENSG00000001617,645,569,380,335
ENSG00000001626,6,3,32,139
ENSG00000001629,673,493,310,644
ENSG00000001630,716,150,121,545
ENSG00000001631,517,387,168,616
ENSG00000002016,109,95,99,97
ENSG00000002079,1,1,7,0
ENSG00000002330,732,775,3155,1717
ENSG00000002549,2508,2000,2493,7882
ENSG00000002586,4423,1882,7325,7615
ENSG00000002587,11,35,39,30
ENSG00000002726,171,1,4,471
ENSG00000002745,4,1,1,1
ENSG00000002746,3,7,2,8
ENSG00000002822,1779,527,4001,1599
ENSG00000002834,10177,5157,4892,6802
ENSG00000002919,428,330,1090,821
ENSG00000002933,21073,45146,18585,41735
ENSG00000003056,841,588,189,1787
ENSG00000003096,49,90,85,122
ENSG00000003137,19,5,14,15
ENSG00000003147,462,319,223,445
ENSG00000003249,962,2114,447,138
ENSG00000003393,802,592,621,2112
ENSG00000003400,414,270,505,421
ENSG00000003402,1451,1300,2294,2817
ENSG00000003436,7616,5130,15462,10333
ENSG00000003509,138,237,258,432
ENSG00000003756,751,804,1081,876
ENSG00000003987,44,51,33,49
ENSG00000003989,13387,1877,11494,30085
ENSG00000004059,2940,1792,4376,3584
ENSG00000004139,39,34,56,67
ENSG00000004142,4828,4267,9490,11808
ENSG00000004399,1299,1252,2299,2005
ENSG00000004455,2786,2527,3794,5687
ENSG00000004468,13,55,119,83
ENSG00000004478,2638,1981,4925,5336
ENSG00000004487,462,531,1148,998
ENSG00000004534,797,612,1334,763
ENSG00000004660,14,37,53,49
ENSG00000004700,245,141,78,299
ENSG00000004766,561,472,188,441
ENSG00000004776,153,454,438,576
ENSG00000004777,97,144,168,16
ENSG00000004779,1295,1882,2744,2946
ENSG00000004799,5616,2954,2288,19903
ENSG00000004809,0,1,0,2
ENSG00000004838,13,14,75,2
ENSG00000004846,0,2,0,1
ENSG00000004848,0,0,0,0
ENSG00000004864,6065,2133,2058,5938
ENSG00000004866,1402,1009,1389,2375
ENSG00000004897,798,588,1118,1150
ENSG00000004939,3,8,1,2
ENSG00000004948,0,0,2,3
ENSG00000004961,528,327,428,917
ENSG00000004975,174,522,294,380
ENSG00000005001,1,3,1,28
ENSG00000005007,3186,2800,2476,2812
ENSG00000005020,1273,760,96,567
ENSG00000005022,5117,4453,10374,16973
ENSG00000005059,121,53,84,93
ENSG00000005073,1,0,2,0
ENSG00000005075,932,962,2723,1495
ENSG00000005100,303,318,206,569
ENSG00000005102,7,0,8,7
ENSG00000005108,579,59,30,57
ENSG00000005156,555,435,612,485
ENSG00000005175,347,466,316,499
ENSG00000005187,862,304,423,2539
ENSG00000005189,85,139,210,50
ENSG00000005194,517,799,610,1018
ENSG00000005206,1022,924,1388,572
ENSG00000005238,215,328,328,305
ENSG00000005243,421,464,2367,1054
ENSG00000005249,1,41,26,166
ENSG00000005302,291,209,329,424
ENSG00000005339,1714,1449,1373,2321
ENSG00000005379,9,176,132,134
ENSG00000005381,0,9,3,4
