"gene","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster"
"LAPTM5",9.14469433386526e-58,1.52405475001584,0.951,0.112,9.60010011169175e-54,"0"
"CD53",1.19519186122433e-53,1.54955916685545,0.938,0.136,1.2547124159133e-49,"0"
"SRGN",1.49212477178223e-49,1.49898437758799,0.975,0.231,1.56643258541698e-45,"0"
"RGS1",1.75602477981865e-49,1.63564593809166,0.988,0.238,1.84347481385361e-45,"0"
"HLA-DRB5",1.17065909938451e-44,1.37163731246184,0.951,0.248,1.22895792253386e-40,"0"
"PLEK",2.70008619152887e-44,1.34731213976322,0.704,0.041,2.83455048386701e-40,"0"
"CD69",6.41101521216708e-44,1.43377433394489,0.877,0.153,6.730283769733e-40,"0"
"GMFG",2.52425731029376e-43,1.42932367277595,0.765,0.085,2.64996532434639e-39,"0"
"ALOX5AP",6.99832465844975e-43,1.5068114079585,0.778,0.092,7.34684122644055e-39,"0"
"IL2RG",1.1666380081945e-42,1.46212582886975,0.852,0.16,1.22473658100259e-38,"0"
"FYB1",4.15087201501305e-41,1.25051174791535,0.765,0.092,4.3575854413607e-37,"0"
"HLA-DPA1",6.44404109133768e-41,1.33349825735739,0.963,0.361,6.76495433768629e-37,"0"
"PTPRC",2.09051356434264e-40,1.15994436395392,0.963,0.384,2.1946211398469e-36,"0"
"DOCK2",7.67564252025568e-40,1.05533252011683,0.63,0.031,8.05788951776441e-36,"0"
"IFI16",1.83381416545e-39,1.17569236633149,0.926,0.255,1.9251381108894e-35,"0"
"WIPF1",2.25920015196761e-39,1.02820636022414,0.778,0.099,2.37170831953559e-35,"0"
"HLA-DPB1",3.91464889869023e-39,1.31420086684892,0.951,0.34,4.109598413845e-35,"0"
"ITGB2",4.96966156611539e-39,1.10910972172031,0.691,0.061,5.21715071210794e-35,"0"
"LCP1",9.88018748897538e-39,1.2196236226336,0.951,0.378,1.03722208259264e-34,"0"
"CD74",1.06219789776125e-37,1.00442095657202,1,0.673,1.11509535306977e-33,"0"
"HLA-DRB1",1.16019321339905e-37,1.21339107557803,0.963,0.418,1.21797083542633e-33,"0"
"CD52",4.30356953535073e-37,1.39692325998357,0.889,0.259,4.51788729821119e-33,"0"
"HLA-DRA",5.98907932027302e-37,1.06921641266918,1,0.571,6.28733547042262e-33,"0"
"HCLS1",1.57134675189761e-36,1.15807727586059,0.79,0.129,1.64959982014211e-32,"0"
"HLA-DQA1",1.7919788122499e-36,1.35377879304251,0.778,0.143,1.88121935709995e-32,"0"
"SLC2A3",1.83371113227447e-36,1.20381745374201,0.802,0.146,1.92502994666174e-32,"0"
"CXCR4",3.79707792565715e-36,1.20928346909379,0.877,0.245,3.98617240635488e-32,"0"
"LOC388813",5.22217756414413e-36,1.15353910785349,0.691,0.078,5.48224200683851e-32,"0"
"IRF8",6.9055700002839e-36,1.14507604475618,0.617,0.044,7.24946738629804e-32,"0"
"C16orf54",7.2960350301103e-36,1.14495716474785,0.605,0.041,7.65937757460979e-32,"0"
"CYBB",1.55956485436148e-35,1.17353296788042,0.605,0.044,1.63723118410868e-31,"0"
"EVI2B",1.6084309125952e-35,1.10438232420582,0.617,0.048,1.68853077204244e-31,"0"
"TMSB4X",4.69976573629073e-35,0.556959326940816,1,0.969,4.93381406995801e-31,"0"
"CCND2",3.20965625157663e-34,1.06825969387194,0.741,0.122,3.36949713290515e-30,"0"
"ARHGDIB",7.97737288108452e-34,0.855265403553737,0.988,0.718,8.37464605056253e-30,"0"
"CD48",1.98844586460214e-33,1.1247406702798,0.531,0.024,2.08747046865932e-29,"0"
"ARPC2",3.23051627785835e-33,0.481024413866161,1,0.973,3.3913959884957e-29,"0"
"CTTN",7.3131597946842e-33,-1.19536214607546,0.173,0.969,7.67735515245947e-29,"0"
"HCST",1.00882332868166e-32,1.26497089182258,0.716,0.139,1.05906273045001e-28,"0"
"HLA-DQB1",1.07964894475257e-32,1.19759255666249,0.864,0.282,1.13341546220125e-28,"0"
"CD4",1.18356735746168e-32,1.09035406467314,0.593,0.051,1.24250901186327e-28,"0"
"TFAP2C",1.64831525314537e-32,-1.19538792174428,0.086,0.898,1.73040135275201e-28,"0"
"SLAMF7",2.63534169396961e-32,1.10978599420405,0.593,0.054,2.7665817103293e-28,"0"
"LCP2",4.24299362530741e-32,1.09049203837963,0.617,0.065,4.45429470784772e-28,"0"
"DOCK10",4.49995843429126e-32,0.958543018302517,0.605,0.054,4.72405636431896e-28,"0"
"ENAH",7.42046000894049e-32,-0.994746607502438,0.123,0.929,7.78999891738573e-28,"0"
"CORO1A",9.89440219019644e-32,1.0175373907963,0.654,0.085,1.03871434192682e-27,"0"
"RAC2",1.02005748088964e-31,1.2319156152696,0.679,0.105,1.07085634343795e-27,"0"
"PTPN22",1.80338589564012e-31,1.04205839604073,0.593,0.054,1.893194513243e-27,"0"
"KRT18",1.88483659158636e-31,-1.03647561744842,0.309,0.935,1.97870145384736e-27,"0"
"MSN",4.80822651100291e-31,0.952359518328365,0.889,0.299,5.04767619125086e-27,"0"
"EPCAM",4.92176729150056e-31,-1.07320710939753,0.074,0.881,5.16687130261729e-27,"0"
"CLEC2B",5.28528053277551e-31,1.0282532263038,0.704,0.109,5.54848750330773e-27,"0"
"ELMO1",6.58584577669723e-31,1.04204654491905,0.667,0.099,6.91382089637675e-27,"0"
"MUC1",7.01577088169283e-31,-1.18760124415025,0.074,0.861,7.36515627160113e-27,"0"
"FXYD3",1.16503844691263e-30,-1.19632179145777,0.111,0.901,1.22305736156888e-26,"0"
"ZEB2",2.79586538382779e-30,1.05176799857574,0.667,0.095,2.93509947994241e-26,"0"
"APOBEC3C",3.01328371759583e-30,1.01919675679707,0.852,0.262,3.16334524673211e-26,"0"
"B2M",3.20233507180282e-30,0.469923873899559,1,1,3.3618113583786e-26,"0"
"PCED1B-AS1",3.22744885398204e-30,1.12144275215117,0.593,0.065,3.38817580691034e-26,"0"
"RGS2",3.26076010829926e-30,1.16087055552897,0.889,0.323,3.42314596169257e-26,"0"
"HLA-DMA",3.34020803738846e-30,1.08312591291163,0.901,0.381,3.5065503976504e-26,"0"
"EMP2",4.94839759350485e-30,-1.05646467849284,0.173,0.912,5.19482779366139e-26,"0"
"HLA-E",5.49458057367174e-30,0.711264828847161,0.988,0.762,5.76821068624059e-26,"0"
"SERPINB9",6.17925297605152e-30,0.965434865752188,0.926,0.35,6.48697977425888e-26,"0"
"MYO6",6.2562985070851e-30,-0.942738865446246,0.136,0.918,6.56786217273793e-26,"0"
"FGD2",6.76572516878409e-30,0.95988095503063,0.58,0.061,7.10265828218954e-26,"0"
"PTPRF",6.83734793108419e-30,-0.949298321651984,0.099,0.888,7.17784785805218e-26,"0"
"IKZF1",1.23769816597494e-29,0.89253729663932,0.593,0.068,1.29933553464049e-25,"0"
"CTSS",1.24997782163608e-29,1.14845749389289,0.79,0.218,1.31222671715356e-25,"0"
"HLA-A",1.39445695539054e-29,0.770168663206414,0.988,0.609,1.46390091176899e-25,"0"
"CD2",1.78790123077163e-29,1.17227570443829,0.593,0.075,1.87693871206406e-25,"0"
"SH3BGRL3",2.41268455743294e-29,0.557109838140146,0.975,0.925,2.53283624839311e-25,"0"
