"gene","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster"
"LAPTM5",9.14469433386526e-58,1.52405475001584,0.951,0.112,9.60010011169175e-54,"0"
"CD53",1.19519186122433e-53,1.54955916685545,0.938,0.136,1.2547124159133e-49,"0"
"SRGN",1.49212477178223e-49,1.49898437758799,0.975,0.231,1.56643258541698e-45,"0"
"RGS1",1.75602477981865e-49,1.63564593809166,0.988,0.238,1.84347481385361e-45,"0"
"CD69",6.41101521216708e-44,1.43377433394489,0.877,0.153,6.730283769733e-40,"0"
"GMFG",2.52425731029376e-43,1.42932367277595,0.765,0.085,2.64996532434639e-39,"0"
"ALOX5AP",6.99832465844975e-43,1.5068114079585,0.778,0.092,7.34684122644055e-39,"0"
"IL2RG",1.1666380081945e-42,1.46212582886975,0.852,0.16,1.22473658100259e-38,"0"
"CD52",4.30356953535073e-37,1.39692325998357,0.889,0.259,4.51788729821119e-33,"0"
"FCER1G",2.57300577189873e-23,1.43489613020468,0.568,0.112,2.70114145933928e-19,"0"
"DCD",1.07086580900416e-72,1.32791833486692,0.96,0.017,1.12419492629256e-68,"1"
"SULT1E1",1.95378330148793e-67,1.35347820517838,0.867,0.007,2.05108170990203e-63,"1"
"SLC30A8",2.68972247627469e-66,1.29721574944895,0.88,0.013,2.82367065559317e-62,"1"
"CDO1",8.11730475781542e-61,1.13701742253548,0.827,0.013,8.52154653475463e-57,"1"
"ITGB6",1.16574219617104e-52,1.10931056850883,1,0.177,1.22379615754036e-48,"1"
"PIP",3.3812212457549e-46,1.25585702764596,0.987,0.16,3.5496060637935e-42,"1"
"PPP1R14C",6.25048887462116e-46,1.11629315156852,1,0.19,6.56176322057729e-42,"1"
"RNF135",1.08682913553016e-45,1.05865623637912,0.987,0.203,1.14095322647956e-41,"1"
"TMEM45A",1.89885082100841e-43,1.04950456061681,0.987,0.17,1.99341359189463e-39,"1"
"TOP2A",8.9580735052688e-41,1.07229137536696,1,0.277,9.40418556583119e-37,"1"
"AGR3",9.65021622379703e-50,1.4387624833263,0.939,0.123,1.01307969917421e-45,"2"
"SERPINA3",6.97828253323526e-47,1.34914734835297,0.955,0.136,7.32580100339038e-43,"2"
"ESR1",1.60320550995801e-43,1.24480325777267,0.909,0.146,1.68304514435392e-39,"2"
"PVALB",5.10524862456502e-41,1.20725703697122,0.682,0.042,5.35949000606836e-37,"2"
"SERPINA5",1.09969973553886e-39,0.992973820731159,0.606,0.023,1.15446478236869e-35,"2"
"HSPB8",2.50250434211732e-34,1.09630650587289,0.864,0.191,2.62712905835477e-30,"2"
"CA12",8.28040242937542e-33,0.998020218203156,0.955,0.32,8.69276647035832e-29,"2"
"TCEAL1",1.01341901934485e-31,1.09839468405926,0.924,0.32,1.06388728650823e-27,"2"
"APOD",8.9777541489365e-29,1.12128635164646,0.833,0.223,9.42484630555354e-25,"2"
"PI15",2.37502327865217e-22,1.0634181462241,0.576,0.104,2.49329943792905e-18,"2"
"SFRP1",3.19743631333621e-47,0.947646293663212,0.672,0.016,3.35666864174036e-43,"3"
"COL6A1",1.35666304190667e-40,0.984988928399118,0.689,0.041,1.42422486139362e-36,"3"
"CHI3L1",3.68864592384905e-33,1.11394350775916,0.639,0.054,3.87234049085673e-29,"3"
"GABRP",1.43485178189137e-32,1.24106345386317,0.689,0.089,1.50630740062956e-28,"3"
"CCN2",1.94715256179727e-30,0.939367483117197,0.574,0.045,2.04412075937477e-26,"3"
"EFNA5",4.39038900599443e-27,1.05393161194332,0.705,0.137,4.60903037849295e-23,"3"
"GPNMB",1.10069528636041e-25,0.979247548007744,0.803,0.188,1.15550991162116e-21,"3"
"PAM",8.44391129980311e-24,0.995209867828815,0.77,0.204,8.86441808253331e-20,"3"
"CRYAB",2.94669383834802e-23,1.00944213622557,0.705,0.162,3.09343919149775e-19,"3"
"C1R",1.92666320639057e-18,0.945142235578617,0.607,0.146,2.02261103406882e-14,"3"
"LOC102724852",1.86559614393124e-54,1.3676070524213,0.978,0.064,1.95850283189901e-50,"4"
"CEACAM5",2.6493776272541e-54,1.22892635307488,0.935,0.052,2.78131663309135e-50,"4"
"EREG",2.08313759797251e-50,1.08516587905939,0.913,0.049,2.18687785035155e-46,"4"
"BPIFB2",4.15819610222278e-50,1.08736823385132,0.826,0.036,4.36527426811347e-46,"4"
"NDST4",4.141393890004e-44,1.03256908841621,0.717,0.03,4.3476353057262e-40,"4"
"CXCL1",1.08200648983658e-39,1.23259980980426,0.935,0.116,1.13589041303045e-35,"4"
"SEMA4B",1.38212398845995e-33,1.11949991536561,1,0.289,1.45095376308526e-29,"4"
"CXCL8",2.04338904345869e-31,1.25602137912515,1,0.24,2.14514981782293e-27,"4"
"CXCL17",1.04911457718026e-29,1.02132792047626,0.913,0.167,1.10136048312383e-25,"4"
"CEACAM6",8.22226165320569e-29,1.06934612453439,0.978,0.237,8.63173028353534e-25,"4"
"TSPAN8",2.7336569519283e-55,1.3910977927084,1,0.046,2.86979306813433e-51,"5"
"ATP13A4",2.33097230436671e-47,0.900397316557049,0.821,0.026,2.44705472512417e-43,"5"
"CLDN1",1.2267211333953e-40,1.02598472191902,0.75,0.029,1.28781184583839e-36,"5"
"LINC01133",1.81194780197281e-37,0.815712317859652,0.679,0.023,1.90218280251106e-33,"5"
"FABP7",3.12418826384556e-32,0.907651164492614,0.786,0.055,3.27977283938506e-28,"5"
"GLYATL2",2.07684342017181e-31,1.03816939552466,0.821,0.069,2.18027022249636e-27,"5"
"HOXA10",9.23047544470214e-28,0.847078244015483,0.786,0.075,9.69015312184831e-24,"5"
"SDR16C5",9.03101710188488e-24,0.888368732536266,0.821,0.107,9.48076175355875e-20,"5"
"MUCL1",5.19744175469154e-17,0.937424725994458,1,0.311,5.45627435407518e-13,"5"
"CYP4Z1",6.77149275362424e-16,0.810296238243094,0.786,0.156,7.10871309275473e-12,"5"
"AKR7A3",1.93643981619014e-30,0.881080920639482,0.944,0.076,2.03287451903641e-26,"6"
"LAMA3",4.12457307774842e-29,0.950710536322212,0.944,0.081,4.32997681702029e-25,"6"
"ANKRD30B",1.96541637368872e-23,1.08044767910108,1,0.148,2.06329410909841e-19,"6"
"GASK1B",2.71405602445729e-22,1.1416110910953,1,0.165,2.84921601447527e-18,"6"
"GDF15",6.77620101215026e-22,1.00793925891098,0.944,0.123,7.11365582255534e-18,"6"
"LGR4",5.6862670787905e-19,0.89507183293942,1,0.179,5.96944317931427e-15,"6"
"SYBU",1.98895456385515e-17,0.894281970905498,1,0.174,2.08800450113513e-13,"6"
"LXN",1.92866009114172e-16,0.990720530500504,0.889,0.148,2.02470736368058e-12,"6"
"PRKACB",7.1361764749891e-15,0.935059989795086,1,0.252,7.49155806344356e-11,"6"
"CPB1",2.76500496943461e-13,0.879239709779322,1,0.216,2.90270221691246e-09,"6"
