"V1","V2","scRNA@meta.data$orig.ident","sample","clusters"
1,7,"BC01","BC01","6"
1,7,"BC01","BC01","6"
1,7,"BC01","BC01","6"
1,7,"BC01","BC01","6"
1,7,"BC01","BC01","6"
1,7,"BC01","BC01","6"
1,7,"BC01","BC01","6"
1,7,"BC01","BC01","6"
1,7,"BC01","BC01","6"
1,7,"BC01","BC01","6"
1,7,"BC01","BC01","6"
1,7,"BC01","BC01","6"
1,7,"BC01","BC01","6"
1,7,"BC01","BC01","6"
1,7,"BC01","BC01","6"
1,7,"BC01","BC01","6"
1,7,"BC01","BC01","6"
1,7,"BC01","BC01","6"
2,3,"BC02","BC02","2"
2,3,"BC02","BC02","2"
2,3,"BC02","BC02","2"
2,3,"BC02","BC02","2"
2,3,"BC02","BC02","2"
2,3,"BC02","BC02","2"
2,3,"BC02","BC02","2"
2,3,"BC02","BC02","2"
2,3,"BC02","BC02","2"
2,3,"BC02","BC02","2"
2,3,"BC02","BC02","2"
2,3,"BC02","BC02","2"
2,3,"BC02","BC02","2"
2,3,"BC02","BC02","2"
2,3,"BC02","BC02","2"
2,3,"BC02","BC02","2"
2,3,"BC02","BC02","2"
2,3,"BC02","BC02","2"
2,3,"BC02","BC02","2"
2,3,"BC02","BC02","2"
2,3,"BC02","BC02","2"
2,3,"BC02","BC02","2"
2,3,"BC02","BC02","2"
2,3,"BC02","BC02","2"
2,3,"BC02","BC02","2"
2,1,"BC02","BC02","0"
2,3,"BC02","BC02","2"
2,3,"BC02","BC02","2"
2,3,"BC02","BC02","2"
2,3,"BC02","BC02","2"
2,3,"BC02","BC02","2"
2,3,"BC02","BC02","2"
2,3,"BC02","BC02","2"
2,3,"BC02","BC02","2"
2,3,"BC02","BC02","2"
2,3,"BC02","BC02","2"
2,3,"BC02","BC02","2"
2,3,"BC02","BC02","2"
2,3,"BC02","BC02","2"
2,3,"BC02","BC02","2"
2,3,"BC02","BC02","2"
2,3,"BC02","BC02","2"
2,3,"BC02","BC02","2"
2,3,"BC02","BC02","2"
2,3,"BC02","BC02","2"
2,3,"BC02","BC02","2"
2,3,"BC02","BC02","2"
2,3,"BC02","BC02","2"
2,3,"BC02","BC02","2"
2,3,"BC02","BC02","2"
3,1,"BC03","BC03","0"
3,1,"BC03","BC03","0"
3,3,"BC03","BC03","2"
3,3,"BC03","BC03","2"
3,3,"BC03","BC03","2"
3,3,"BC03","BC03","2"
3,3,"BC03","BC03","2"
3,3,"BC03","BC03","2"
3,3,"BC03","BC03","2"
3,3,"BC03","BC03","2"
3,3,"BC03","BC03","2"
3,1,"BC03","BC03","0"
3,3,"BC03","BC03","2"
3,1,"BC03","BC03","0"
3,3,"BC03","BC03","2"
3,3,"BC03","BC03","2"
3,3,"BC03","BC03","2"
3,3,"BC03","BC03","2"
3,3,"BC03","BC03","2"
3,1,"BC03","BC03","0"
3,1,"BC03","BC03","0"
3,1,"BC03","BC03","0"
3,1,"BC03","BC03","0"
3,1,"BC03","BC03","0"
3,1,"BC03","BC03","0"
3,1,"BC03","BC03","0"
3,1,"BC03","BC03","0"
4,5,"BC04","BC04","4"
4,5,"BC04","BC04","4"
4,5,"BC04","BC04","4"
4,4,"BC04","BC04","3"
4,5,"BC04","BC04","4"
4,5,"BC04","BC04","4"
4,5,"BC04","BC04","4"
4,5,"BC04","BC04","4"
4,5,"BC04","BC04","4"
4,5,"BC04","BC04","4"
4,5,"BC04","BC04","4"
4,5,"BC04","BC04","4"
