"","tSNE_1","tSNE_2"
"BC01_04",-9.69800075853711,7.27955342048445
"BC01_05",-10.6550407988638,6.7252849313279
"BC01_06",-9.69773281726709,6.86907726429399
"BC01_08",-10.1249273004899,6.80544191439814
"BC01_10",-10.0650282442209,6.12766563249006
"BC01_12",-10.692241153245,6.19878587256372
"BC01_33",-9.61321424738955,6.38218272084248
"BC01_34",-9.94039011594003,6.38116121654958
"BC01_53",-10.3055082992927,7.07503056064202
"BC01_55",-10.2349259167704,6.61930456535029
"BC01_57",-10.1541201733945,6.04495703197346
"BC01_66",-10.56625758647,7.06722666744437
"BC01_69",-10.1500783303538,7.25196626030828
"BC01_70",-9.73240009457701,6.27775818620313
"BC01_72",-10.7156230437751,6.94902435656775
"BC01_77",-10.5869761461371,6.5190473740705
"BC01_87",-10.5798039471351,6.45312838894786
"BC01_95",-9.84862774342397,7.09817584751266
"BC02_02",-15.9398151048589,-4.47988786582588
"BC02_08",-14.7534536111083,-6.61741754525473
"BC02_09",-13.8715719225543,-5.29355265724623
"BC02_10",-16.8171041102764,-4.37770464337391
"BC02_11",-16.7015617933878,-5.6197819250226
"BC02_12",-17.3909030438038,-6.70521976760596
"BC02_13",-15.0065300752958,-4.63435514919712
"BC02_14",-17.2859517115076,-6.4384841104082
"BC02_15",-14.8572465806053,-6.79264865053076
"BC02_18",-17.040439231806,-5.63174432347978
"BC02_19",-16.5629201821806,-8.41194000972818
"BC02_24",-16.4350037393941,-8.34679464084939
"BC02_25",-14.3676738103543,-8.1197257067154
"BC02_26",-15.8969331652378,-5.06046055266906
"BC02_28",-16.7018668335305,-4.69206212972377
"BC02_31",-16.6497450507142,-7.07702601746626
"BC02_34",-16.0822012182598,-8.86550609982821
"BC02_44",-15.510230681855,-6.10144122371654
"BC02_50",-15.3602605835518,-5.90356450579647
"BC02_51",-16.0009139555507,-5.17664497307158
"BC02_53",-16.5870705624754,-6.0532496837782
"BC02_54",-15.9014172830498,-3.93953278082466
"BC02_55",-16.2802478682139,-5.48918619041324
"BC02_58",-16.0211595502529,-7.02307720817684
"BC02_59",-16.2548548714534,-9.22597733521711
"BC02_60",9.59332497857392,-9.26145563657727
"BC02_62",-17.0123447217795,-8.0136714635817
"BC02_63",-17.2200918801413,-7.10533969068321
"BC02_64",-15.5243745942435,-6.27139457439094
"BC02_66",-15.0698740551521,-5.82257119108606
"BC02_67",-16.2694727740493,-4.43560471725244
"BC02_68",-16.603906865824,-3.87815192719559
"BC02_70",-14.6324991273326,-8.23143742539934
"BC02_71",-16.7583467187369,-5.52032073006305
"BC02_73",-15.160392324128,-4.26801832419508
"BC02_74",-16.1701111399261,-4.94209545446763
"BC02_75",-16.1492164816735,-6.1712098699489
"BC02_76",-17.8826104551117,-8.47231825724538
"BC02_79",-15.9310750959074,-7.6275260977954
"BC02_81",-15.290832912557,-4.36842423562791
"BC02_82",-17.7033916757092,-5.92112066375687
"BC02_83",-17.6347162426569,-5.8969198212181
"BC02_86",-17.6052361026168,-5.55931176124619
"BC02_88",-16.4277838963684,-6.45192778884569
"BC02_89",-17.8784631121295,-7.72476555433379
"BC02_90",-15.7407847889949,-4.28890958843985
"BC02_93",-17.0061715479772,-4.78521169283242
"BC02_94",-15.5349848919424,-7.96084135635875
"BC02_95",-14.426823345472,-8.37558460805275
"BC02_96",-16.2720396842436,-6.74518868694397
"BC03_03",0.779044132457575,-10.0069518872684
"BC03_06",0.223504313393042,-12.9766693938492
"BC03_09",-15.5877115762242,1.85475998556373
"BC03_11",-15.5998431861303,2.04216328012572
"BC03_13",-15.5660403724262,2.25256617298744
"BC03_16",-16.0733716570929,1.36304696343635
"BC03_17",-15.435034135334,2.13016194357257
"BC03_19",-16.0764496973478,1.46845062363045
"BC03_20",-15.917079523569,2.27774590405125
"BC03_21",-15.0706362162488,2.22930007090628
"BC03_23",-16.2565581211899,1.88013497882027
"BC03_24",0.0179307296532676,-12.8474560755202
"BC03_26",-15.9110795737805,1.40942931642596
"BC03_28",0.550814671563504,-12.8934907345341
"BC03_29",-15.7519350845949,1.7040790646338
"BC03_35",-16.4998867145985,1.94525568754609
"BC03_37",-15.5959382380753,1.12176626521682
"BC03_41",-15.975558902242,1.39891487610883
"BC03_43",-15.1912219311553,1.52079682796495
"BC03_50",2.8047485113221,-8.19193564111318
"BC03_58",2.62778276954688,-8.3592783617901
"BC03_60",-0.0841744006353129,-12.8585953624636
"BC03_78",1.50806092502523,-9.80094698211404
"BC03_81",-0.111079583741328,-12.9089370722123
"BC03_92",0.486926398298392,-11.4280026410417
"BC03_93",-0.151744249971341,-12.198509286921
"BC03_94",1.143637595318,-10.1346159407465
"BC04_01",15.8196311566269,-1.25886969526666
"BC04_02",16.5716879757619,-4.18622555709722
"BC04_07",14.5743625051482,-2.16316556407907
"BC04_08",2.45223703166135,-3.07012904337063
"BC04_09",12.9189321155197,-2.20134310328323
"BC04_11",16.7058835145129,-4.58775804478478
"BC04_13",14.1220406857429,-0.84152113342175
"BC04_14",16.6225560581056,-5.2653081671418
"BC04_16",17.2169069114973,-5.2666115112842
"BC04_20",13.2341010396272,-1.66776956438233
"BC04_21",11.4745808037339,-7.17719033195652
"BC04_22",16.6716829615016,-5.10944106393524
"BC04_23",14.9137147717823,-0.911496623534829
"BC04_24",14.2529891204847,-1.8858965062647
"BC04_27",14.0589445298885,-1.5077473553369
"BC04_28",16.3853815399975,-4.87759194136357
"BC04_29",13.87486994296,-1.71484299447813
"BC04_30",16.8384264109448,-5.6517940879389
"BC04_31",14.8925063460046,-1.74014933840514
"BC04_32",15.206059889368,-1.23935208962195
"BC04_33",14.1470460743556,-2.28429760027453
"BC04_35",11.0870013449328,-7.91205421396688
"BC04_36",15.3025614922254,-2.01767592889456
"BC04_37",14.2014810351107,-1.03266550572256
"BC04_40",15.9304857229904,-4.18208455896455
"BC04_41",16.5060521765555,-2.7459316540537
"BC04_45",16.8410684064255,-2.36005801348178
"BC04_49",14.4192456875318,-1.45143140368252
"BC04_54",16.2729211004647,-4.34572973395579
"BC04_56",16.848226074483,-2.88163141155504
"BC04_59",15.9347131630796,-3.94192011656768
"BC04_60",14.7453869389265,-0.877020861537444
"BC04_61",16.7753867880802,-5.00211436362008
"BC04_62",15.5640123443814,-5.79953178858302
"BC04_63",15.2399571226381,-2.83755354486127
"BC04_64",14.5057319197785,-1.18684396207447
"BC04_66",12.9536973127513,-3.32956809449425
"BC04_69",15.8826112863841,-3.49539499756004
"BC04_71",13.7070618997887,-2.76684937284078
"BC04_72",10.7347432401419,-8.46681959309697
"BC04_77",12.6251576688515,-3.86213130036227
"BC04_78",13.8668019207044,-1.08358624348411
"BC04_85",14.9232634601709,-1.53809648900477
"BC04_86",14.8881152081814,-2.03325331537966
"BC04_88",16.0827381213297,-3.49310719104224
"BC04_89",2.7959403777164,-7.83628241997091
"BC04_90",14.6260318910456,-2.4230274245986
"BC04_91",16.5824364417972,-4.13404852010096
"BC04_92",15.4439261155885,-4.75466395762748
"BC04_93",14.2999679468045,-1.17664166678515
"BC04_96",3.3044636544967,-7.59794318231342
"BC05_01",-2.71863052627246,12.7131662335884
"BC05_02",-1.69636047853994,17.2420626727834
"BC05_04",-0.559304282751088,12.9441352558733
"BC05_07",2.43347763495183,17.7940412016011
"BC05_08",-0.469506745498081,17.7168131646802
"BC05_09",-2.13633833706519,16.3169051247243
"BC05_12",-0.710254719796028,16.617414685418
"BC05_13",-3.29793397432287,15.4988200587466
"BC05_16",-2.06451112889898,16.0437693225598
"BC05_17",2.80638438836908,15.8596946418105
"BC05_18",3.28667661230543,16.5785612421895
"BC05_20",-2.26794342195963,15.4139858174642
"BC05_21",-1.04157368858416,17.7776292774162
"BC05_22",-0.812014173691001,13.0012175155865
"BC05_23",-1.51757344470776,18.3800763612311
"BC05_25",-0.12952029922391,12.9672536333028
"BC05_26",2.19536851611854,18.0107847532431
"BC05_27",-2.66472980116969,13.576922570036
"BC05_28",1.30717117836388,17.5528018842015
"BC05_29",1.42983225007635,15.6858458698438
"BC05_30",1.25617953551603,18.7388266484421
"BC05_31",-1.22670428710179,15.9897624843903
"BC05_32",0.918803230455295,17.3665394584927
"BC05_33",-2.89843775242099,15.8742505991621
"BC05_34",-1.63313355597753,14.3080127333166
"BC05_35",-2.5046450083253,12.4858299119687
"BC05_36",-1.66076440932721,16.7793195409674
"BC05_37",-0.473842865222307,14.5980582140871
"BC05_38",-3.2647741926608,15.9040810406975
"BC05_39",0.720047330298112,13.579126509476
"BC05_41",0.398714587354627,17.2932344036401
"BC05_42",-2.93223480328584,16.6122724048195
"BC05_43",-2.37731003645341,15.5450621683947
"BC05_44",-1.6371572328279,12.6354700493754
"BC05_45",-0.902937833586311,17.2359893580497
"BC05_46",-3.58029325850429,16.0551293875156
"BC05_47",-1.36534517965519,15.6068890803301
"BC05_48",0.738118998833057,15.560885516291
"BC05_49",-1.13146075572935,17.4432770882757
"BC05_50",-0.103038422305651,17.5191996197524
"BC05_52",-0.166970927134293,18.44265539651
"BC05_53",-0.912040273493306,14.3172896218914
"BC05_55",-2.06951066551774,12.5612401176011
"BC05_57",-0.472527636920689,19.9426950687832
"BC05_59",-2.81665275261684,12.841106641522
"BC05_60",-1.07132561325815,17.4408207854484
"BC05_61",-2.47410589656123,16.9275553278933
"BC05_62",-1.62904452394722,14.1835144405797
"BC05_63",-1.78533397973741,14.934518831414
"BC05_64",-3.13149073240354,14.598109153863
"BC05_68",-0.402781560737226,19.8806327954054
"BC05_69",-3.21880303854416,17.3161158032225
"BC05_70",-0.168095582900926,15.8429084423236
"BC05_71",2.18039534095035,18.3961273178196
"BC05_72",-2.98888559516295,15.4690891378302
"BC05_73",0.54020318215334,16.4538404218172
"BC05_74",9.76370814180426,-10.0113943404792
"BC05_75",0.542167450820237,18.6631109938945
"BC05_77",1.60305477022628,16.4230341705484
"BC05_78",-0.596520381496886,14.8207999522627
"BC05_79",-0.0182851525889757,17.9185663727548
"BC05_80",-0.224808570001239,16.8081566935983
"BC05_81",0.218400599574076,17.6255386589689
"BC05_83",-2.52467623607099,16.7291009458791
"BC05_84",1.54038256913855,18.9372004668044
