"gene","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster"
"DCD",2.84316075700199e-59,1.34417316048823,0.96,0.009,2.98475016270069e-55,"0"
"SLC30A8",2.52229211115575e-52,1.30290250465908,0.88,0.014,2.6479022582913e-48,"0"
"SULT1E1",3.50426673026607e-52,1.35015660101002,0.867,0.009,3.67877921343332e-48,"0"
"CDO1",1.18383632927265e-46,1.12558309756969,0.827,0.018,1.24279137847043e-42,"0"
"TFAP2B",1.38485251623207e-46,0.998409408004344,0.987,0.137,1.45381817154043e-42,"0"
"PNMT",3.84382645194258e-46,1.02150175204495,0.827,0.027,4.03524900924932e-42,"0"
"CSMD3",3.42135583172849e-43,0.790101951546661,0.72,0,3.59173935214857e-39,"0"
"RNF135",8.00657220580891e-43,1.10142469507934,0.987,0.196,8.4052995016582e-39,"0"
"ITGB6",3.48171241047951e-42,1.03315644212167,1,0.233,3.65510168852139e-38,"0"
"TOP2A",3.83052320398888e-42,1.18810926747824,1,0.233,4.02128325954752e-38,"0"
"FAM3B",4.71499552675819e-39,1.00815146214647,0.853,0.082,4.94980230399075e-35,"0"
"RPL23P8",1.28412220994416e-38,0.747776228794706,0.96,0.265,1.34807149599938e-34,"0"
"PPP1R14C",5.55017128403536e-37,1.03740998635699,1,0.237,5.82656981398032e-33,"0"
"LMO3",7.06080727235766e-36,0.982826377005335,0.84,0.087,7.41243547452107e-32,"0"
"IBA57",1.15142318059937e-35,0.861582424088278,0.92,0.196,1.20876405499322e-31,"0"
"PIP",2.90537802470347e-35,1.14408691515274,0.987,0.201,3.0500658503337e-31,"0"
"NRIP3",1.33430993408391e-34,0.923699419499471,0.853,0.105,1.40075856880129e-30,"0"
"THRSP",2.28532467050325e-34,0.931462787556823,0.92,0.123,2.39913383909432e-30,"0"
"PLEKHA5",2.57548139494573e-34,0.873969651343081,1,0.516,2.70374036841403e-30,"0"
"ADCY5",2.78733698981849e-33,0.665303238338676,0.653,0.027,2.92614637191145e-29,"0"
"RPL23P6",3.3334177269778e-33,0.642545528992278,0.92,0.269,3.49942192978129e-29,"0"
"ACTN2",1.01796731782031e-32,0.774367617010771,0.667,0.037,1.06866209024777e-28,"0"
"SNHG31",1.14894538670936e-32,0.862660588057637,0.627,0.023,1.20616286696748e-28,"0"
"TMEM45A",1.26156435063935e-32,0.948861284847655,0.987,0.228,1.32439025530118e-28,"0"
"HLA-B",3.37030610407275e-32,-1.23293658368603,0.28,0.959,3.53814734805557e-28,"0"
"PTPRC",6.9898713797532e-32,0.815067707474614,0.933,0.196,7.33796697446491e-28,"0"
"RBP1",7.41639949439438e-32,0.907625783026932,0.987,0.32,7.78573618921522e-28,"0"
"GSDMB",7.98763370876093e-32,0.866055290813832,1,0.329,8.38541786745722e-28,"0"
"IFITM3",2.17375634965725e-31,-1.41326731402411,0.107,0.927,2.28200941587019e-27,"0"
"LIMCH1",2.97263091916921e-31,0.771055662743418,1,0.484,3.12066793894384e-27,"0"
"NF1",5.14506740572934e-31,0.652248777353687,1,0.676,5.40129176253466e-27,"0"
"CSF3R",1.06740719397063e-30,0.748581808020391,0.72,0.059,1.12056407223037e-26,"0"
"TXLNB",2.49007382699806e-30,0.590363122391723,0.667,0.05,2.61407950358256e-26,"0"
"MAP3K20",5.94390798385814e-30,0.762130726499631,1,0.416,6.23991460145427e-26,"0"
"SOX11",1.08896547633292e-29,0.780819903242275,1,0.429,1.1431959570543e-25,"0"
"SELENOP",6.15533135372096e-29,0.728222802238924,1,0.566,6.46186685513627e-25,"0"
"RAB3D",1.961367160359e-28,0.569854861655945,0.987,0.621,2.05904324494488e-24,"0"
"SNCG",4.59982103078408e-28,0.882069451625227,0.947,0.237,4.82889211811712e-24,"0"
"MFSD2A",6.90641432419893e-28,0.640260066035198,0.76,0.105,7.25035375754403e-24,"0"
"PALMD",9.52570417627144e-28,0.730570602312662,0.853,0.155,1.00000842442498e-23,"0"
"HLA-A",1.23395410924978e-27,-1.29516131274634,0,0.817,1.29540502389042e-23,"0"
"PSMD3",1.94726399018119e-27,0.59877296898346,1,0.521,2.04423773689221e-23,"0"
"ALDH2",2.01512641515837e-27,0.694001257021182,0.92,0.215,2.11547971063326e-23,"0"
"DOCK8",2.09005279573791e-27,0.671600615915958,0.733,0.1,2.19413742496565e-23,"0"
"S100A10",5.02721036007004e-27,-0.99441277858253,0.28,0.941,5.27756543600152e-23,"0"
"CD163L1",6.32162914485192e-27,0.759802072369599,0.84,0.178,6.63644627626555e-23,"0"
"CLEC3A",6.76231414614543e-27,1.01770555423982,0.587,0.041,7.09907739062347e-23,"0"
"CCDC152",3.72991651628787e-26,0.781449483966051,0.973,0.37,3.91566635879901e-22,"0"
"ADGRG6",3.8743750221929e-26,0.66923780962962,0.907,0.205,4.0673188982981e-22,"0"
"GPRC5B",4.41904817659969e-26,0.846843948341678,0.907,0.269,4.63911677579435e-22,"0"
"MAPK10",5.47015150821742e-26,0.748303998847002,0.747,0.114,5.74256505332665e-22,"0"
"GRB14",6.27399659114041e-26,0.862072670338476,0.627,0.064,6.58644162137921e-22,"0"
"SLC40A1",6.49060723040449e-26,0.760823232743618,0.92,0.237,6.81383947047864e-22,"0"
"ZNRF2",1.48714307589593e-25,0.625961018824661,0.867,0.224,1.56120280107555e-21,"0"
"LINC00993",2.58256388678324e-25,0.73918123608644,0.827,0.151,2.71117556834505e-21,"0"
"UCP2",3.23843558247598e-25,0.737990271279274,0.987,0.42,3.39970967448328e-21,"0"
"MIEN1",4.13953608869474e-25,0.481761152671284,1,0.785,4.34568498591174e-21,"0"
"ENPP1",9.90834581036551e-25,0.756859699848397,0.907,0.311,1.04017814317217e-20,"0"
"CYP4Z1",1.0252892969256e-24,0.806516413034739,0.72,0.1,1.0763487039125e-20,"0"
"IGFBP2",1.03258385011838e-24,0.621392339070146,0.72,0.123,1.08400652585427e-20,"0"
"SLC35F2",1.39966078838396e-24,0.755261165430198,0.92,0.306,1.46936389564548e-20,"0"
"MSL1",1.87787098445992e-24,0.551927077864548,1,0.667,1.97138895948602e-20,"0"
"ORMDL3",2.12197407412741e-24,0.565668358806873,1,0.621,2.22764838301896e-20,"0"
"PIK3C2G",2.16430107754677e-24,0.663426815788547,0.68,0.096,2.27208327120859e-20,"0"
"BRD3",4.07223649138647e-24,0.67958825738109,0.92,0.338,4.27503386865751e-20,"0"
"ERBB2",4.30634863268023e-24,0.538653107743733,1,0.667,4.5208047945877e-20,"0"
"RARA",4.41691484436943e-24,0.56099996484482,0.8,0.169,4.63687720361903e-20,"0"
"KMO",1.04079976074085e-23,0.782316594996551,0.787,0.205,1.09263158882574e-19,"0"
"LDHB",1.19686287240774e-23,-1.25176733249434,0,0.74,1.25646664345364e-19,"0"
"AFF3",1.50320397939226e-23,0.660406269486715,0.947,0.292,1.57806353756599e-19,"0"
"AMOTL1",1.75141519712607e-23,0.502205654298679,0.6,0.059,1.83863567394295e-19,"0"
"CST6",1.93878380601094e-23,0.627014149641721,0.68,0.1,2.03533523955029e-19,"0"
"CASC3",2.6780313333111e-23,0.567184729709046,1,0.653,2.81139729370999e-19,"0"
"AGPAT5",5.32918957432249e-23,0.632031837248403,0.907,0.265,5.59458321512375e-19,"0"
"PPP1R1B",5.57473156356231e-23,0.749866618431341,1,0.406,5.85235319542771e-19,"0"
"CD74",6.29417479552264e-23,-1.08429325079952,0.187,0.84,6.60762470033967e-19,"0"
"SERHL2",7.58772851382903e-23,0.820660919609347,0.72,0.142,7.96559739381771e-19,"0"
"SUSD2",8.83887361234617e-23,0.5392697944635,0.56,0.05,9.27904951824101e-19,"0"
"TCEAL9",9.0286533780535e-23,-1.11584974027276,0,0.721,9.47828031628057e-19,"0"
"QPRT",9.12284633801342e-23,0.629541102615147,0.867,0.242,9.57716408564649e-19,"0"
"ABRACL",1.58559830083244e-22,0.41528353933953,1,0.772,1.6645610962139e-18,"0"
"GRB7",1.86228916960668e-22,0.661691466272309,1,0.42,1.9550311702531e-18,"0"
"KIT",2.10658408728987e-22,0.605345278741815,0.707,0.11,2.21149197483691e-18,"0"
"ADAM10",2.18420931341157e-22,0.514229099571936,1,0.635,2.29298293721947e-18,"0"
"IL6ST",2.33435717346212e-22,-0.994848902125696,0.08,0.767,2.45060816070053e-18,"0"
"MED24",3.62645664638257e-22,0.613942842321113,0.987,0.438,3.80705418737242e-18,"0"
"KIF13B",4.09469334296808e-22,0.624688694265757,0.947,0.288,4.29860907144789e-18,"0"
"VSNL1",4.52918715230119e-22,0.825291425280599,0.573,0.064,4.75474067248579e-18,"0"
"PADI2",4.78960507804146e-22,0.580099424120824,1,0.484,5.02812741092792e-18,"0"
"PHACTR2",6.08301037897391e-22,0.557446865912499,0.987,0.548,6.38594429584681e-18,"0"
"CD36",6.13091247513069e-22,0.618529673626543,0.48,0.027,6.43623191639219e-18,"0"
"PXYLP1",1.53887286537266e-21,0.565510526205681,0.787,0.169,1.61550873406822e-17,"0"
"SASH1",1.65311904592764e-21,0.585274222066552,0.92,0.288,1.73544437441483e-17,"0"
"RASSF3",1.7262886851032e-21,0.497097935263272,0.987,0.653,1.81225786162134e-17,"0"
"GPR157",2.89233522454909e-21,0.463442444186694,0.8,0.21,3.03637351873164e-17,"0"
"SCOC",3.91505066600783e-21,0.483557192031758,1,0.731,4.11002018917502e-17,"0"
"DDAH1",4.63287945385781e-21,0.669777127371939,0.893,0.42,4.86359685065993e-17,"0"
"SNRPN",9.93966732703938e-21,0.554826117165897,0.96,0.498,1.04346627599259e-16,"0"
"FGF12",1.02025041546124e-20,0.664822650482111,0.6,0.087,1.07105888615121e-16,"0"
"VSIG10",1.0489414882776e-20,0.665918800947094,0.88,0.352,1.10117877439383e-16,"0"
"PROM1",1.47132194161256e-20,0.626185340147232,0.933,0.265,1.54459377430487e-16,"0"
"MLLT3",1.52342298707369e-20,0.643318454433858,0.867,0.26,1.59928945182996e-16,"0"
"MMEL1",1.54666189766753e-20,0.642172162702755,0.56,0.073,1.62368566017137e-16,"0"
"AIF1L",1.58561087140354e-20,0.588295203058244,0.773,0.183,1.66457429279943e-16,"0"
"MDK",1.70867782750497e-20,0.553163255999033,0.987,0.571,1.79376998331472e-16,"0"
"LRRC1",1.99057818772986e-20,0.573505850457895,1,0.543,2.08970898147881e-16,"0"
"ECM1",2.05806625459938e-20,0.643460849957709,0.56,0.068,2.16055795407843e-16,"0"
"OSBPL6",2.31961203207753e-20,0.490934271228624,0.573,0.073,2.43512871127499e-16,"0"
"FRMD8",2.40529509774796e-20,0.555677693505199,0.973,0.447,2.52507879361581e-16,"0"
"ASRGL1",2.47678930071434e-20,0.610193366554751,0.64,0.11,2.60013340788991e-16,"0"
"EMP1",2.67053902054976e-20,-1.04063256380108,0.147,0.763,2.80353186377314e-16,"0"
"NPNT",3.27087427450753e-20,0.603865510679797,0.84,0.21,3.43376381337801e-16,"0"
"PPFIBP2",5.33665371614532e-20,0.622421358725575,0.907,0.32,5.60241907120936e-16,"0"
"SAMD12",7.93042906359021e-20,0.534388060533767,0.973,0.475,8.32536443095701e-16,"0"
"RGPD2",1.13524582389956e-19,0.556666068731987,0.64,0.123,1.19178106592976e-15,"0"
"IFITM2",1.43633085926438e-19,-1.10995630113014,0.147,0.763,1.50786013605574e-15,"0"
"CYB5R2",1.56596106367427e-19,0.605684555925654,0.613,0.105,1.64394592464524e-15,"0"
"COL21A1",1.88398131414115e-19,0.640853790731271,0.547,0.073,1.97780358358538e-15,"0"
"TMCO4",1.92270974450343e-19,0.601921126436795,0.8,0.228,2.0184606897797e-15,"0"
"FAM241A",2.11584977641459e-19,0.518248357781737,0.773,0.201,2.22121909528004e-15,"0"
"SHPRH",2.21996618044794e-19,0.570800652570509,0.933,0.397,2.33052049623425e-15,"0"
"HENMT1",2.43315067915983e-19,0.664358574235397,0.787,0.219,2.55432158298198e-15,"0"
"IFITM1",2.44681098847157e-19,-1.19507096457804,0.08,0.731,2.56866217569745e-15,"0"
"MGAT4A",2.49753154601488e-19,0.579713169108993,0.96,0.443,2.62190861700643e-15,"0"
"SNURF",2.89210648337621e-19,0.594612488065359,0.933,0.42,3.03613338624835e-15,"0"
"ACOX3",3.1294079732659e-19,0.560589917424563,0.72,0.16,3.28525249033454e-15,"0"
"CSTA",3.55258268099214e-19,0.639576727824143,0.96,0.269,3.72950129850554e-15,"0"
"RHOH",5.44738822068136e-19,0.599624207862787,0.8,0.26,5.71866815407129e-15,"0"
"PIGR",6.03324113147949e-19,0.666032382184769,0.573,0.096,6.33369653982717e-15,"0"
"NHSL1",6.08297505347624e-19,0.494425867012935,0.987,0.562,6.38590721113935e-15,"0"
"ATF4",6.34842242718128e-19,-0.475454491297969,0.813,0.959,6.66457386405491e-15,"0"
"PPP1R1A",6.97186587021262e-19,0.45649181957737,0.48,0.05,7.31906479054921e-15,"0"
"CASP6",7.1648164864263e-19,0.613595419995978,0.88,0.352,7.52162434745033e-15,"0"
"CAMK2N1",8.28419597362428e-19,0.545086204159474,0.987,0.429,8.69674893311077e-15,"0"
"FBP1",9.26867602340783e-19,0.598603880347574,0.92,0.301,9.73025608937354e-15,"0"
"PSPH",9.48670039882279e-19,0.570275155441264,0.893,0.329,9.95913807868416e-15,"0"
"ABCA12",1.23092382300576e-18,0.479949812850063,0.667,0.142,1.29222382939144e-14,"0"
"TENT5A",1.92056414755861e-18,-0.930806706432767,0.147,0.744,2.01620824210703e-14,"0"
"MARCHF2",2.58913593264289e-18,0.476596878034517,0.933,0.356,2.7180749020885e-14,"0"
"HBS1L",2.62556262688569e-18,0.455168563501303,0.987,0.68,2.7563156457046e-14,"0"
"VTA1",3.23698050263744e-18,0.535326111795665,0.973,0.571,3.39818213166878e-14,"0"
