"","tSNE_1","tSNE_2"
"BC01_04",4.44251638309387,-11.7813746796679
"BC01_05",3.89429515952057,-12.8570984893504
"BC01_06",4.02068403726979,-11.8218588187564
"BC01_08",4.42906822497971,-12.204307634479
"BC01_10",3.62302008807941,-12.0489993659937
"BC01_12",3.37051014290886,-12.667320130715
"BC01_33",3.49278334847112,-11.7648511883862
"BC01_34",3.8094021772944,-11.8608523012843
"BC01_53",4.30492479999928,-12.1830378464142
"BC01_55",3.92148065488499,-12.5126086999325
"BC01_57",3.22771620702318,-12.2672630227488
"BC01_66",4.46719548460392,-12.6286271027352
"BC01_69",4.53744165484302,-12.4931099788557
"BC01_70",3.44435649863085,-12.0873063758291
"BC01_72",4.38827280283984,-12.8970813419943
"BC01_77",3.75838177265811,-12.6425532993858
"BC01_87",3.99815032854037,-12.808624186623
"BC01_95",4.59540045117421,-12.0880684306575
"BC02_02",-11.5083569102286,-7.45907486132515
"BC02_08",-12.9739830074372,-6.21787578765097
"BC02_09",-12.0176623016621,-5.46912356951494
"BC02_10",-11.5878830200417,-8.92879868996892
"BC02_11",-12.7534357050488,-8.21628947400982
"BC02_12",-13.6990988874443,-8.72724655182111
"BC02_13",-11.4704504649747,-6.3510613941126
"BC02_14",-13.3895171991085,-8.70675334382964
"BC02_15",-13.018856883287,-6.35623747290983
"BC02_18",-12.7519165593958,-9.30961709954939
"BC02_19",-15.2988799070194,-6.97092126436019
"BC02_24",-15.2618160097024,-7.26257567396879
"BC02_25",-13.3056680444374,-5.72474407321175
"BC02_26",-11.7928016261263,-8.48145538802943
"BC02_28",-11.288107839926,-8.31801568451988
"BC02_31",-14.1416581077987,-9.13843717618988
"BC02_34",-15.3587399610278,-6.52848317005528
"BC02_44",-12.9014004782628,-7.68282908156795
"BC02_50",-13.0833829615737,-7.36026079365388
"BC02_51",-12.1766613431953,-7.8857902921483
"BC02_53",-12.7766894313415,-8.21122846098472
"BC02_54",-10.9464431394219,-8.20374188267288
"BC02_55",-12.1991752213456,-7.724133393625
"BC02_58",-14.8048384664295,-8.64346551171545
"BC02_59",-15.8574061558312,-6.59060403965706
"BC02_62",-15.0111986953283,-7.76383057880466
"BC02_63",-14.3565564535654,-8.96243600390564
"BC02_64",-12.8858157573291,-7.52270780520488
"BC02_66",-12.5661043318095,-6.92744706530719
"BC02_67",-11.5125644254367,-7.82407531882939
"BC02_68",-10.1894939409359,-8.32773428282379
"BC02_70",-13.7677984347906,-5.61036365236476
"BC02_71",-12.6608823116635,-8.95715616299821
"BC02_73",-11.1539421375019,-6.89881173364338
"BC02_74",-11.8244932235164,-7.90093055431068
"BC02_75",-14.0939334532402,-7.19017423973965
"BC02_76",-15.0319849707042,-4.87421549851336
"BC02_79",-14.5674469224682,-8.08183064111785
"BC02_81",-11.1498476904569,-6.84144705883827
"BC02_82",-13.0864508057866,-9.58527679073407
"BC02_83",-12.3215039784736,-8.95346236967987
"BC02_86",-13.8388101795608,-7.02585846816548
"BC02_88",-13.2517902592224,-8.04100327834521
"BC02_89",-15.1803093547951,-4.81472531816248
"BC02_90",-10.8309725680275,-7.55316826724593
"BC02_93",-12.2117437195989,-8.486442934252
"BC02_94",-14.6382972647531,-6.49854633046457
"BC02_95",-13.6851265775327,-5.34285881106682
"BC02_96",-13.7888475401063,-8.20686667329678
"BC03_09",-2.97691300728203,-8.46568807635926
"BC03_11",-2.83665922736147,-8.3191317607912
"BC03_13",-2.56057084715911,-8.20955787154046
"BC03_16",-3.34711963337606,-8.03169722669682
"BC03_17",-2.63568763348843,-8.08034668133087
"BC03_19",-3.31570274448482,-8.25340103590723
"BC03_20",-2.28529272375143,-7.63268144209087
"BC03_21",-1.74394600770032,-7.79980459022301
"BC03_23",-2.82190466451748,-7.61304652252888
"BC03_26",-3.31812697722987,-8.24632244151847
"BC03_29",-3.03182609328864,-8.41604529166868
"BC03_35",-2.11073334004598,-7.41053395604101
"BC03_37",-3.26706107368911,-8.74998964697861
"BC03_41",-3.37177251519577,-8.38613190946783
"BC03_43",-1.97639435819033,-8.71906980617744
"BC04_01",3.14620443402449,12.1236633366887
"BC04_02",0.299243659879316,12.6867251219945
"BC04_07",2.59030870860744,11.0616670510003
"BC04_08",-9.2756850863265,11.8087135962194
"BC04_09",1.44162288385931,8.63622427981729
"BC04_11",0.354204783270055,13.2147090910074
"BC04_13",2.96299444806502,9.38671628384087
"BC04_14",-0.32152280978787,13.5192703005359
"BC04_16",0.266623253675919,14.1155361079829
"BC04_20",3.58531440735215,10.6042912736577
