"","UMAP_1","UMAP_2"
"BC01_04",24.7250878877786,1.00862229772571
"BC01_05",24.866874463096,1.1954447121239
"BC01_06",24.8830125398782,0.928110250911745
"BC01_08",24.9816663332131,1.18752444692615
"BC01_10",25.2957303590921,0.886398443660768
"BC01_12",25.4576890535501,1.24066651769641
"BC01_33",25.1783101625588,1.01570952840808
"BC01_34",25.4820687837747,1.00850165792468
"BC01_53",24.714229352012,1.28016007848743
"BC01_55",24.9265115327981,1.14597142644885
"BC01_57",25.4571931429055,0.934710630855593
"BC01_66",24.6503617830422,1.13364757009509
"BC01_69",24.815562970176,1.33091557928089
"BC01_70",25.2078530855325,1.03576482244495
"BC01_72",24.89105964376,1.52841676183704
"BC01_77",25.1876142091897,1.43561471410755
"BC01_87",25.1415669984963,1.34246838994983
"BC01_95",24.9385068483499,1.06083787389758
"BC02_02",-7.52522825525731,15.295943388424
"BC02_08",-6.75160311983556,13.918366560421
"BC02_09",-6.70338057802648,13.5257693619347
"BC02_10",-7.86908244417638,14.3919955582238
"BC02_11",-7.67508291529149,14.3508616776085
"BC02_12",-7.36591028498144,14.1291991562462
"BC02_13",-6.99753760622472,15.2235022873497
"BC02_14",-7.49784921930761,13.8981410355187
"BC02_15",-7.0041775636527,14.6160231918907
"BC02_18",-7.13824080751867,14.1442233414269
"BC02_19",-6.45366477297277,14.1090365738488
"BC02_24",-6.64098262117833,14.2210570664025
"BC02_25",-6.54279135988683,14.9388858170128
"BC02_26",-8.15780662821264,14.578070768795
"BC02_28",-7.78174280451269,15.0233260483361
"BC02_31",-7.63907384203405,13.7884875626183
"BC02_34",-6.24271582888097,14.3311873764611
"BC02_44",-7.63423728273839,13.5151225418663
"BC02_50",-7.54519867228002,13.5647345871544
"BC02_51",-8.01991915033788,14.3221904129601
"BC02_53",-7.56329774187536,14.5334159226036
"BC02_54",-8.04658626841039,14.8441878647423
"BC02_55",-7.49267792032689,14.717122206173
"BC02_58",-7.28877519892186,13.2510787338829
"BC02_59",-6.40932654665441,14.2759066910363
"BC02_62",-6.60374330805272,13.6693469376183
"BC02_63",-7.73267077730626,13.8746672958947
"BC02_64",-7.40017890261144,13.7900649399376
"BC02_66",-6.9845504693839,14.8817283005333
"BC02_67",-7.89819764421911,14.9243060440636
"BC02_68",-7.77246593759984,14.5482093185997
"BC02_70",-6.48161100672216,14.6788302750206
"BC02_71",-7.64102958963842,14.1150370926476
"BC02_73",-7.71700286196203,15.0761424393273
"BC02_74",-7.52020096109838,14.9627353043175
"BC02_75",-6.75093316362829,14.4493743271447
"BC02_76",-6.95114254282445,13.9219371170616
"BC02_79",-7.17035197542638,13.363715300045
"BC02_81",-7.60486149118871,15.1554137558556
"BC02_82",-7.21733235643834,14.2705508560753
"BC02_83",-7.42371129320592,14.4904319138146
"BC02_86",-6.53503321932287,14.1329985947228
"BC02_88",-7.91431736277074,13.7519008011437
"BC02_89",-7.27930902765722,13.9766970963097
"BC02_90",-7.51881932543249,15.2056418747521
"BC02_93",-7.91776632593603,14.4334155411339
"BC02_94",-6.44207667635412,13.9968539566613
"BC02_95",-6.35014557169408,14.8425990433312
"BC02_96",-7.63325166033239,13.4578677506066
"BC03_09",-3.51908942388029,-5.49209018639561
"BC03_11",-3.08443855570287,-5.24864607147214
"BC03_13",-3.14512061403722,-5.71590938261983
"BC03_16",-3.50336971209974,-5.13585888437268
"BC03_17",-3.08488916681737,-5.30446540407178
"BC03_19",-3.31324499176473,-5.23829071811673
"BC03_20",-2.80261349009008,-5.46703874162671
"BC03_21",-2.85245262907476,-5.32920157007214
"BC03_23",-3.10413741396398,-5.20274882606503
"BC03_26",-3.2151989273879,-5.50480874470708
"BC03_29",-3.05301337765188,-5.40899743727681
"BC03_35",-3.21005069540471,-5.51791267684933
"BC03_37",-3.2397892408225,-5.39210187486645
"BC03_41",-3.42268895433874,-5.26237790874478
"BC03_43",-2.90500878618688,-5.51528294972417
"BC04_01",7.52583099080592,0.379105219326052
"BC04_02",7.35502792073756,1.84596694417957
"BC04_07",7.832767254844,0.188311228237184
"BC04_08",4.85092998219996,3.4902879089928
"BC04_09",7.06844020558863,0.229220518550905
"BC04_11",7.656160122886,1.94145787664417
"BC04_13",7.66698051167994,-0.0942820220374738
"BC04_14",7.21506667806178,2.03189624258045
"BC04_16",7.51940513326197,2.29444230504993
"BC04_20",8.05190730763941,-0.252066007175413
"BC04_21",5.67673564626246,0.574471601924929
"BC04_22",7.30731368733912,2.21364034124378
"BC04_23",8.43448234273463,-0.212400785007445
"BC04_24",8.54299808217555,-0.165164819278685
"BC04_27",8.11389136983424,-0.412212720432249
"BC04_28",7.55643344594508,2.09341205068591
"BC04_29",8.27244926167994,-0.504841199436155
"BC04_30",7.44836021138697,2.45007050939563
"BC04_31",8.33756328298121,0.374544748744997
"BC04_32",8.38871551229029,0.178222307643923
"BC04_33",8.30900741292506,-0.262298932590452
"BC04_36",8.11270595265895,0.507709631404909
"BC04_37",8.09104610158473,-0.152272096195189
"BC04_40",7.55992580129176,1.54531062551502
"BC04_41",7.474763638511,1.21097529836658
"BC04_45",7.51823688222438,1.07318557210925
"BC04_49",8.23442054463893,0.0907646507835711
"BC04_54",7.4782865114358,1.83746016927722
"BC04_56",7.39022803975611,1.33229936071399
"BC04_59",7.5613000459817,1.70406115957263
"BC04_60",8.2021634645608,-0.111266484775511
"BC04_61",7.47169376088648,2.10707581945423
"BC04_62",6.53545451833277,1.6570302338219
"BC04_63",7.96321273519068,1.06999219366077
"BC04_64",8.43272662831813,0.00773013540271172
"BC04_66",6.03591132833033,0.755975374660524
"BC04_69",7.86550117208033,1.38406814046863
"BC04_71",6.92299533559352,0.49380935140613
"BC04_77",5.71516872121363,0.390791544399294
"BC04_78",7.8135726518777,-0.239862313785521
"BC04_85",7.93467212392359,0.168674597225221
"BC04_86",8.07558417989283,0.360895761928591
"BC04_88",7.69407344533473,1.55909074254993
"BC04_90",8.07728934957057,0.514828333339723
"BC04_91",7.66605163289576,2.02874673315051
"BC04_92",6.87573981954127,1.44561398931507
"BC04_93",8.37547279073268,-0.0838926940345441
"BC05_01",-12.56268619822,-9.19576393655774
"BC05_02",-8.71513723658056,-8.81121527246472
"BC05_04",-12.3367083005759,-8.97612463525769
"BC05_07",-9.15094303415746,-7.45010077051159
"BC05_08",-9.72041010187597,-8.66206442407605
"BC05_09",-9.44962620066137,-9.27375327638623
"BC05_12",-8.93017362879247,-8.68499909929272
"BC05_13",-10.6613547735068,-10.0517653136635
"BC05_16",-9.15497278498144,-9.46818863443371
"BC05_17",-11.9707777433249,-8.82019340089795
"BC05_18",-11.1719353132102,-8.69111191324231
"BC05_20",-10.4893901281211,-10.0444244056129
"BC05_21",-9.67532944010228,-8.53549801401135
"BC05_22",-12.3978321485373,-9.09008633188244
"BC05_23",-9.55413221643895,-8.82146464876172
"BC05_25",-12.3898165159079,-8.88713704637524
"BC05_26",-9.1026985578391,-7.46453117422101
"BC05_27",-12.292211764321,-9.11489092401501
"BC05_28",-9.89512562082738,-8.06221210054394
"BC05_29",-8.93587517069311,-8.18716823152539
"BC05_30",-9.25768303202123,-7.82975660852429
"BC05_31",-8.84313511179418,-9.12140833429333
"BC05_32",-8.89959215448827,-7.80904041818616
"BC05_33",-9.9671685628745,-9.89519583276745
"BC05_34",-11.6160943441245,-9.56690227083203
"BC05_35",-12.553517573342,-9.11461078218457
"BC05_36",-8.91780494974584,-9.16983663133618
"BC05_37",-11.8254101209495,-9.37210284761426
"BC05_38",-10.1105611257407,-9.93208395532605
"BC05_39",-11.1081955365989,-9.14027010492322
"BC05_41",-9.22378753946752,-8.63431703142163
