rownames(exprMat)	LAU125	LAU355	LAU1255	LAU1314
A1BG	0.82	0.58	0.81	0.71
A1CF	0	0.01	0	0
A2M	247.15	24.88	2307.94	20.3
A2M-AS1	1.38	0.2	2.6	0.28
A2ML1	0.03	0	0.05	0.02
A3GALT2	0	0	0	0
A4GALT	0.17	0.96	0.03	1.7
A4GNT	0.09	0	0.05	0.01
AAAS	20.9	15.68	14.09	19.17
AACS	10.14	3.87	3.08	5.39
AACSP1	0	0.01	0.05	0
AADAC	0	0	0	0
AADACL2	0	0.06	0	0.02
AADACL2-AS1	0	0	0	0.09
AADACL3	0	0.01	0	0.02
AADACL4	0	0	0	0
AADACP1	0.22	0	0.17	0
AADAT	5.69	0.14	0.88	0.08
AAED1	5.97	11.69	13.01	8.79
AAGAB	19.66	22.6	16.14	19.77
AAK1	3.29	4.49	3.33	3.36
AAMDC	18.72	4.13	35.1	5.84
AAMP	54.57	25.65	50.52	34.21
AANAT	0.05	0.36	0.04	0.16
AAR2	22.59	9.06	9.64	9.84
AARD	2.53	0.06	2.78	0.09
AARS	98.07	20.45	40.08	28.6
AARS2	7.74	4.4	3.92	4.14
AARSP1	0	0.12	0	0.14
AASDH	14.23	10.47	5.91	10.93
AASDHPPT	51.82	24.05	69.44	32.44
AASS	23.91	2.45	6.13	3
AATBC	0.47	0.12	0.19	0.03
AATK	0.24	0.11	0.22	0.01
ABAT	3.1	4.2	1.57	3.06
ABCA1	8.53	7.58	5.71	4.46
ABCA10	1.25	0.28	0.09	0.21
ABCA11P	0.06	0.24	0	0.25
ABCA12	0.17	0.02	0.01	0.01
ABCA13	1.44	0.04	0.08	0.19
ABCA17P	0.42	0.01	0.16	0.14
ABCA2	3.17	5.74	5.76	4.45
ABCA3	1.84	0.71	3.87	0.71
ABCA4	0	0	0.02	0
ABCA5	5.8	1.89	2.23	1.88
ABCA6	6.63	1.42	0.23	1.6
ABCA7	1.24	13.2	4.31	7.83
ABCA8	31.5	0.01	9.68	0.16
ABCA9	6.57	0.4	2.39	0.23
ABCA9-AS1	0.11	0	0	0
ABCB1	0.31	6.44	3.15	9.04
ABCB10	9.03	13.37	4.77	11.33
