p.value	HR (95% CI for HR)
FBLIM1	0.115	1.02 (0.995-1.04)
PLA2G5	0.177	0.862 (0.695-1.07)
ID3	0.993	1 (0.982-1.02)
TINAGL1	0.712	0.997 (0.98-1.01)
HEYL	0.539	1.01 (0.975-1.05)
NEXN	0.215	1.09 (0.952-1.24)
CYR61	0.98	1 (0.994-1.01)
NES	0.792	1 (0.982-1.02)
FCER1A	0.906	0.994 (0.897-1.1)
PBX1	0.788	1.02 (0.867-1.21)
KIAA0040	0.912	1 (0.948-1.06)
AKT3	0.0511	1.08 (1-1.18)
PXDN	0.0676	1.04 (0.997-1.08)
COLEC11	0.354	1 (0.996-1.01)
LBH	0.535	1.01 (0.982-1.03)
FHL2	0.823	0.989 (0.899-1.09)
RND3	0.95	1 (0.982-1.02)
FRZB	0.555	0.983 (0.928-1.04)
COL3A1	0.246	1 (1-1)
COL5A2	0.219	1.01 (0.994-1.02)
IGFBP5	0.753	0.999 (0.996-1)
SERPINE2	0.0599	1.02 (0.999-1.03)
LMCD1	0.653	1.02 (0.93-1.12)
CCDC80	0.628	0.99 (0.952-1.03)
FSTL1	0.341	1 (0.995-1.01)
HEG1	0.201	1.04 (0.98-1.1)
PLXND1	0.32	1.01 (0.991-1.03)
SOD3	0.896	0.999 (0.989-1.01)
IGFBP7	0.28	0.999 (0.998-1)
EDNRA	0.256	1.08 (0.943-1.25)
PDLIM3	0.022	1.14 (1.02-1.27)
MYO10	0.557	1.01 (0.969-1.06)
MAP1B	0.759	0.989 (0.923-1.06)
F2R	0.366	1.01 (0.985-1.04)
VCAN	0.295	1.01 (0.99-1.03)
PAM	0.017	1.06 (1.01-1.12)
SLC12A2	0.135	1.03 (0.99-1.08)
EGR1	0.768	1 (0.996-1.01)
TMEM173	0.74	0.993 (0.955-1.03)
PDGFRB	0.955	1 (0.983-1.02)
SPARC	0.6	1 (0.999-1)
PDLIM7	0.0104	1.04 (1.01-1.07)
GLO1	0.0832	1 (0.999-1.01)
RCAN2	0.498	0.981 (0.927-1.04)
LAMA4	0.129	1.04 (0.988-1.1)
NCOA7	0.493	1.01 (0.976-1.05)
CTGF	0.494	0.998 (0.994-1)
SMOC2	0.543	0.983 (0.931-1.04)
PDGFA	0.392	1.01 (0.986-1.04)
FSCN1	0.00948	1.01 (1-1.01)
AQP1	0.356	0.999 (0.997-1)
AEBP1	0.586	0.999 (0.998-1)
COL1A2	0.275	1 (0.999-1)
CAV1	0.135	1.02 (0.995-1.04)
PTN	0.751	0.996 (0.973-1.02)
PTPRN2	0.912	1 (0.942-1.07)
LOXL2	0.0929	1.04 (0.994-1.08)
DPYSL2	0.0171	1.04 (1.01-1.08)
PLAT	0.813	1.01 (0.937-1.09)
GEM	0.681	0.992 (0.955-1.03)
COL14A1	0.287	0.98 (0.945-1.02)
ANXA1	0.723	1 (0.987-1.02)
ASPN	0.986	1 (0.978-1.02)
AIF1L	0.159	1.01 (0.996-1.02)
NPDC1	0.785	0.997 (0.974-1.02)
PLXDC2	0.0506	1.11 (1-1.24)
ALOX5	0.29	1.02 (0.986-1.05)
ARID5B	0.0119	1.11 (1.02-1.21)
PLAU	0.909	1 (0.99-1.01)
ACTA2	0.155	0.996 (0.99-1)
CALHM2	0.317	1.05 (0.953-1.16)
GALNT18	0.059	1.02 (0.999-1.04)
DKK3	0.144	1.01 (0.997-1.02)
C11orf96	0.254	0.99 (0.973-1.01)
TP53I11	0.396	1.02 (0.979-1.06)
EFEMP2	0.925	1 (0.963-1.04)
ARHGEF17	0.182	1.07 (0.971-1.17)
LRRC32	0.757	0.997 (0.978-1.02)
PRSS23	0.257	1.02 (0.984-1.06)
PDGFD	0.717	0.996 (0.977-1.02)
TAGLN	0.338	0.995 (0.984-1.01)
MCAM	0.153	1.01 (0.996-1.03)
THY1	0.403	1.01 (0.99-1.03)
MGP	0.816	0.999 (0.991-1.01)
MSRB3	0.187	1.05 (0.974-1.14)
DCN	0.344	0.99 (0.97-1.01)
ELK3	0.548	0.983 (0.928-1.04)
KCTD12	0.738	1.01 (0.966-1.05)
COL4A1	0.317	1 (0.997-1.01)
COL4A2	0.27	1 (0.998-1.01)
LGALS3	0.00779	1.01 (1-1.01)
PGF	0.936	1 (0.976-1.03)
FOS	0.92	1 (0.994-1.01)
THBS1	0.685	0.998 (0.987-1.01)
FBN1	0.884	1.01 (0.936-1.08)
TPM1	0.377	1.01 (0.986-1.04)
CSPG4	0.0296	1.08 (1.01-1.15)
MFGE8	0.271	1.02 (0.984-1.06)
IQGAP1	0.0708	1.03 (0.997-1.07)
MYH11	0.221	0.95 (0.874-1.03)
MMP2	0.296	1 (0.998-1.01)
TPPP3	0.623	0.991 (0.958-1.03)
CRISPLD2	0.2	0.965 (0.915-1.02)
COL1A1	0.403	1 (0.999-1)
TBX2	0.736	0.984 (0.896-1.08)
C1QTNF1	0.69	0.999 (0.995-1)
METRNL	0.41	1.01 (0.987-1.03)
RAB31	0.0907	1.05 (0.993-1.1)
SLC44A2	0.487	1.01 (0.99-1.02)
NOTCH3	0.6	1.01 (0.978-1.04)
KLF2	0.0319	0.951 (0.909-0.996)
ISYNA1	0.649	1 (0.995-1.01)
PPP1R14A	0.329	0.982 (0.946-1.02)
LTBP4	0.841	1 (0.972-1.04)
EHD2	0.283	1.01 (0.995-1.02)
RASSF2	0.681	0.987 (0.926-1.05)
JAG1	0.191	1.01 (0.993-1.03)
ID1	0.583	1 (0.996-1.01)
FOXS1	0.197	1.02 (0.989-1.05)
PROCR	0.676	1 (0.984-1.03)
MYL9	0.669	1 (1-1)
PMEPA1	0.151	1.01 (0.998-1.02)
COL6A1	0.859	1 (0.997-1)
COL6A2	0.464	1 (0.998-1)
GGT5	0.565	0.993 (0.969-1.02)
A4GALT	0.874	1 (0.95-1.06)
BGN	0.543	1 (0.999-1)
