NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CDC42	na	37	0.4114205837249756	0.034750007	Yes	
row_1	ADAM17	na	379	0.34950846433639526	0.05896252	Yes	
row_2	GIT1	na	674	0.32871806621551514	0.08219285	Yes	
row_3	PAK1	na	883	0.316375732421875	0.10583633	Yes	
row_4	SRC	na	1951	0.2784719169139862	0.11149053	Yes	
row_5	RELA	na	2145	0.2727941572666168	0.13164295	Yes	
row_6	ATP6V1E1	na	2183	0.27176976203918457	0.15438221	Yes	
row_7	MAPK9	na	2218	0.27086499333381653	0.17709512	Yes	
row_8	CASP3	na	2237	0.27033108472824097	0.20003644	Yes	
row_9	ATP6V1A	na	2349	0.26704657077789307	0.2211006	Yes	
row_10	NFKB1	na	2550	0.26157209277153015	0.24016783	Yes	
row_11	ATP6V1E2	na	2719	0.25677254796028137	0.25937098	Yes	
row_12	PLCG1	na	2859	0.25325340032577515	0.27876872	Yes	
row_13	ATP6V1B2	na	2871	0.2529205083847046	0.30033267	Yes	
row_14	NOD1	na	2877	0.2527628540992737	0.32198596	Yes	
row_15	ATP6V0A2	na	3072	0.24787014722824097	0.33997762	Yes	
row_16	ADAM10	na	3172	0.24570675194263458	0.3594122	Yes	
row_17	MAPK8	na	3406	0.24040599167346954	0.37609318	Yes	
row_18	ATP6V1C1	na	3716	0.23396892845630646	0.39091736	Yes	
row_19	ATP6V0C	na	3764	0.23300524055957794	0.41015118	Yes	
row_20	ATP6V1D	na	3913	0.23051317036151886	0.42743883	Yes	
row_21	RAC1	na	4020	0.22844356298446655	0.44526866	Yes	
row_22	PTPN11	na	4326	0.22270099818706512	0.4591923	Yes	
row_23	MAPK14	na	4361	0.22220347821712494	0.47772005	Yes	
row_24	CXCL8	na	5001	0.2114952653646469	0.48495284	Yes	
row_25	MAPK13	na	5452	0.2045329213142395	0.49482763	Yes	
row_26	ATP6AP1	na	5573	0.2029823511838913	0.51022756	Yes	
row_27	IKBKB	na	5589	0.20279820263385773	0.5274121	Yes	
row_28	LYN	na	5654	0.20184069871902466	0.5436741	Yes	
row_29	ATP6V1F	na	6343	0.1924760639667511	0.548431	Yes	
row_30	MAP3K14	na	6395	0.19186867773532867	0.56405824	Yes	
row_31	HBEGF	na	8086	0.17116869986057281	0.5498011	Yes	
row_32	CXCR2	na	8448	0.1675163358449936	0.5580184	Yes	
row_33	MAPK12	na	8521	0.16677311062812805	0.5711272	Yes	
row_34	ATP6V0B	na	8800	0.16396260261535645	0.580462	Yes	
row_35	ATP6V1H	na	9699	0.1558714210987091	0.57846975	Yes	
row_36	CHUK	na	10029	0.15310034155845642	0.58599585	Yes	
row_37	ATP6V0D1	na	10057	0.1529173105955124	0.5986846	Yes	
row_38	TJP1	na	10386	0.14986544847488403	0.60594964	Yes	
row_39	IGSF5	na	10548	0.14847782254219055	0.61595887	Yes	
row_40	ATP6V0D2	na	10550	0.14846831560134888	0.6287108	Yes	
row_41	CXCL1	na	11317	0.14247074723243713	0.62782943	Yes	
row_42	CSK	na	11436	0.14152799546718597	0.63797826	Yes	
row_43	ATP6V1C2	na	11543	0.14076261222362518	0.64826703	Yes	
row_44	PTPRZ1	na	12050	0.13672541081905365	0.6513498	Yes	
row_45	CXCR1	na	12674	0.13230279088020325	0.6520459	Yes	
row_46	ATP6V0A4	na	12952	0.13047584891319275	0.65851784	Yes	
row_47	ATP6V0E1	na	13129	0.12928691506385803	0.6666193	Yes	
row_48	ATP6V1G1	na	15915	0.11244235187768936	0.6285354	No	
row_49	ATP6V1B1	na	17692	0.10326338559389114	0.6069634	No	
row_50	TCIRG1	na	18256	0.10039453953504562	0.6059441	No	
row_51	MAPK10	na	18622	0.0985058844089508	0.60815746	No	
row_52	MAPK11	na	18713	0.09803701192140579	0.61504596	No	
row_53	JUN	na	18932	0.09685703366994858	0.61963814	No	
row_54	MAP2K4	na	19582	0.0935971811413765	0.61655957	No	
row_55	IKBKG	na	22100	0.08184374123811722	0.5804394	No	
row_56	JAM3	na	25796	0.06453890353441238	0.5226317	No	
row_57	ATP6V0A1	na	27452	0.057073429226875305	0.4991619	No	
row_58	ATP6V1G3	na	30584	0.04267095401883125	0.44914436	No	
row_59	ATP6V1G2	na	32656	0.03291840851306915	0.41646394	No	
row_60	MET	na	36063	0.01716463454067707	0.35953727	No	
row_61	CCL5	na	37298	0.011775354854762554	0.33939055	No	
row_62	EGFR	na	37526	0.010830597020685673	0.33642966	No	
row_63	NFKBIA	na	45760	-0.0032379732001572847	0.1955363	No	
row_64	JAM2	na	50564	-0.030330952256917953	0.11578754	No	
row_65	PLCG2	na	53486	-0.055729180574417114	0.07049397	No	
row_66	F11R	na	54064	-0.06176944822072983	0.06591262	No	
row_67	ATP6V0E2	na	56183	-0.09510883688926697	0.03777501	No	
