NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ACSL3	na	3369	0.24115243554115295	-0.023004051	No	
row_1	ACSL4	na	14638	0.11984501779079437	-0.19886713	No	
row_2	CPT1B	na	19075	0.09616177529096603	-0.26104528	No	
row_3	CPT1C	na	19608	0.09343215823173523	-0.25670427	No	
row_4	ACOX3	na	24984	0.06838696449995041	-0.33897737	No	
row_5	HADHA	na	28211	0.05349316447973251	-0.38656333	No	
row_6	ADH7	na	38359	0.007495270110666752	-0.5593974	No	
row_7	ACAT2	na	47904	-0.01261016633361578	-0.7211596	No	
row_8	ADH5	na	52412	-0.04546336084604263	-0.7918579	No	
row_9	HADHB	na	53097	-0.051861874759197235	-0.7961104	No	
row_10	ACADM	na	54174	-0.06298226863145828	-0.80547965	No	
row_11	ALDH9A1	na	54623	-0.06828180700540543	-0.80332196	No	
row_12	ALDH3A2	na	54699	-0.06933239102363586	-0.79461986	No	
row_13	CPT1A	na	56429	-0.10209032893180847	-0.80954754	Yes	
row_14	ALDH1B1	na	56636	-0.10808310657739639	-0.7975086	Yes	
row_15	ACSL1	na	56759	-0.11238711327314377	-0.78340995	Yes	
row_16	ACAA2	na	56895	-0.1175195500254631	-0.7687947	Yes	
row_17	ACSL5	na	56933	-0.11898543685674667	-0.7522887	Yes	
row_18	CPT2	na	56961	-0.12012360990047455	-0.73544735	Yes	
row_19	ACOX1	na	57367	-0.14044326543807983	-0.72215754	Yes	
row_20	ACSL6	na	57372	-0.14092791080474854	-0.70192504	Yes	
row_21	ACADVL	na	57558	-0.15493535995483398	-0.682777	Yes	
row_22	ACADSB	na	57743	-0.17004083096981049	-0.6614358	Yes	
row_23	ADH1C	na	57805	-0.1751764863729477	-0.6372466	Yes	
row_24	HADH	na	57821	-0.17661148309707642	-0.61206234	Yes	
row_25	ACADL	na	57944	-0.19126081466674805	-0.5866017	Yes	
row_26	ADH4	na	58010	-0.202422633767128	-0.5585562	Yes	
row_27	ACADS	na	58060	-0.21151016652584076	-0.5289274	Yes	
row_28	ALDH7A1	na	58101	-0.21808752417564392	-0.49819684	Yes	
row_29	ADH1B	na	58140	-0.22640931606292725	-0.46623322	Yes	
row_30	ACAA1	na	58142	-0.22668004035949707	-0.4335965	Yes	
row_31	ADH6	na	58151	-0.22969470918178558	-0.40064543	Yes	
row_32	ADH1A	na	58153	-0.22979497909545898	-0.36755997	Yes	
row_33	ECI1	na	58199	-0.24179597198963165	-0.33349985	Yes	
row_34	ECI2	na	58200	-0.24201563000679016	-0.29863682	Yes	
row_35	EHHADH	na	58229	-0.25002413988113403	-0.26310003	Yes	
row_36	CYP4A11	na	58238	-0.25317126512527466	-0.22676712	Yes	
row_37	CYP4A22	na	58253	-0.2575606107711792	-0.18990475	Yes	
row_38	ACAT1	na	58342	-0.3084767162799835	-0.14697608	Yes	
row_39	GCDH	na	58355	-0.32943016290664673	-0.099726416	Yes	
row_40	ALDH2	na	58369	-0.34469106793403625	-0.050295513	Yes	
row_41	ECHS1	na	58376	-0.35104942321777344	1.7130563E-4	Yes	
