NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CDC42	na	37	0.4114205837249756	0.012538656	Yes	
row_1	PIK3CB	na	130	0.3792678415775299	0.023102537	Yes	
row_2	PPP1CC	na	236	0.3644976019859314	0.03297004	Yes	
row_3	PPP1CB	na	282	0.3587345480918884	0.043684106	Yes	
row_4	RAP1B	na	365	0.3504917621612549	0.05349837	Yes	
row_5	ILK	na	416	0.34675830602645874	0.063743	Yes	
row_6	RHOA	na	462	0.3431732654571533	0.07395877	Yes	
row_7	PPP1R12A	na	479	0.34131553769111633	0.084613405	Yes	
row_8	RAP1A	na	482	0.341221421957016	0.095505625	Yes	
row_9	VEGFA	na	593	0.3345295190811157	0.10432757	Yes	
row_10	ACTG1	na	698	0.32745692133903503	0.113026135	Yes	
row_11	ITGAV	na	711	0.3266517221927643	0.12327995	Yes	
row_12	VASP	na	751	0.3238854706287384	0.1329812	Yes	
row_13	GRB2	na	815	0.3201977014541626	0.14215189	Yes	
row_14	PAK1	na	883	0.316375732421875	0.15113148	Yes	
row_15	MAPK1	na	1016	0.3104206919670105	0.15880333	Yes	
row_16	PXN	na	1176	0.30406028032302856	0.16580752	Yes	
row_17	ITGA2	na	1204	0.3028727173805237	0.17504211	Yes	
row_18	ACTN4	na	1257	0.3006550669670105	0.18377605	Yes	
row_19	BCAR1	na	1278	0.2995760142803192	0.19302537	Yes	
row_20	ITGA5	na	1408	0.29492777585983276	0.20025267	Yes	
row_21	ARHGAP5	na	1423	0.29451027512550354	0.20944288	Yes	
row_22	GSK3B	na	1460	0.293228417634964	0.21821398	Yes	
row_23	BIRC2	na	1608	0.2880845069885254	0.2249128	Yes	
row_24	ITGB1	na	1646	0.2867848873138428	0.23346038	Yes	
row_25	ITGA3	na	1728	0.28423458337783813	0.24117014	Yes	
row_26	ACTN1	na	1857	0.28075358271598816	0.24796075	Yes	
row_27	SRC	na	1951	0.2784719169139862	0.25527975	Yes	
row_28	PIP5K1C	na	1962	0.2782398462295532	0.2640177	Yes	
row_29	VCL	na	2020	0.2767140567302704	0.27189907	Yes	
row_30	LAMB1	na	2059	0.2754271626472473	0.28006577	Yes	
row_31	MAPK9	na	2218	0.27086499333381653	0.28602415	Yes	
row_32	RAPGEF1	na	2230	0.2705114483833313	0.29449743	Yes	
row_33	PAK4	na	2253	0.26967233419418335	0.30275482	Yes	
row_34	PAK2	na	2598	0.2598319947719574	0.30516347	Yes	
row_35	FLNA	na	2676	0.2579323947429657	0.31209973	Yes	
row_36	SOS2	na	2788	0.25475338101387024	0.3183499	Yes	
row_37	ITGB5	na	2928	0.25155875086784363	0.32401657	Yes	
row_38	TLN1	na	2964	0.2504540979862213	0.33143514	Yes	
row_39	PIK3CA	na	2995	0.2495957463979721	0.33891213	Yes	
row_40	ZYX	na	3117	0.24686674773693085	0.34473792	Yes	
row_41	MAPK8	na	3406	0.24040599167346954	0.34748688	Yes	
row_42	MAPK3	na	3484	0.238801971077919	0.35381055	Yes	
row_43	FN1	na	3554	0.2375882863998413	0.36023283	Yes	
row_44	MAP2K1	na	3612	0.2363467812538147	0.36682156	Yes	
row_45	XIAP	na	3613	0.2363407164812088	0.37438968	Yes	
row_46	ACTB	na	3732	0.23368749022483826	0.37984496	Yes	
row_47	CRKL	na	3860	0.23146434128284454	0.3850744	Yes	
row_48	ROCK1	na	3901	0.23066887259483337	0.3917735	Yes	
row_49	PPP1CA	na	4004	0.22869637608528137	0.3973439	Yes	
row_50	RAC1	na	4020	0.22844356298446655	0.40440136	Yes	
row_51	COL5A2	na	4273	0.22378313541412354	0.4072367	Yes	
row_52	FLNB	na	4571	0.21847960352897644	0.40912887	Yes	
row_53	TLN2	na	4673	0.216697558760643	0.41433227	Yes	
row_54	ITGB8	na	4719	0.21609537303447723	0.42047873	Yes	
row_55	CTNNB1	na	5010	0.21134424209594727	0.42226273	Yes	
row_56	COL5A1	na	5140	0.20937064290046692	0.42675033	Yes	
row_57	AKT1	na	5143	0.20931965112686157	0.43341878	Yes	
row_58	CAPN2	na	5231	0.20793560147285461	0.43858218	Yes	
row_59	ITGB4	na	5341	0.20627637207508087	0.4433144	Yes	
row_60	IGF1R	na	5344	0.2062002271413803	0.44988295	Yes	
row_61	ELK1	na	5359	0.20603179931640625	0.4562399	Yes	
row_62	VEGFB	na	5404	0.205374613404274	0.46206027	Yes	
row_63	COL1A2	na	5431	0.20489566028118134	0.46817464	Yes	
row_64	COL4A2	na	5508	0.20379827916622162	0.4733946	Yes	
row_65	COL4A1	na	5642	0.2019995003938675	0.4775774	Yes	
row_66	PARVA	na	5660	0.20172545313835144	0.48374492	Yes	
row_67	TNC	na	5755	0.20039720833301544	0.4885466	Yes	
row_68	AKT3	na	5937	0.19814778864383698	0.4917812	Yes	
row_69	LAMC2	na	6384	0.19199541211128235	0.49026474	Yes	
row_70	CCND3	na	6410	0.1917259395122528	0.49597454	Yes	
row_71	LAMA5	na	6449	0.191195547580719	0.501444	Yes	
row_72	COL3A1	na	6707	0.1878446638584137	0.5030426	Yes	
row_73	COL1A1	na	6726	0.18758322298526764	0.50874	Yes	
row_74	BRAF	na	6831	0.18630686402320862	0.5129187	Yes	
row_75	PTK2	na	6947	0.18479904532432556	0.51686007	Yes	
row_76	PDGFA	na	6986	0.18421722948551178	0.522106	Yes	
row_77	LAMC1	na	7048	0.18347907066345215	0.5269331	Yes	
row_78	COL6A3	na	7362	0.17933157086372375	0.5272967	Yes	
row_79	EGF	na	7474	0.17777836322784424	0.531082	Yes	
row_80	LAMA1	na	7778	0.17420531809329987	0.5314533	Yes	
row_81	ITGA11	na	7832	0.1735730618238449	0.5361006	Yes	
row_82	LAMA4	na	8112	0.17083074152469635	0.53677636	Yes	
row_83	COMP	na	8232	0.1695907562971115	0.54016197	Yes	
row_84	ITGB3	na	8274	0.16914765536785126	0.54487383	Yes	
row_85	MYLK2	na	8343	0.16847102344036102	0.5491	Yes	
row_86	SOS1	na	8462	0.1673591136932373	0.55243134	Yes	
row_87	SPP1	na	8474	0.16727076470851898	0.55759865	Yes	
row_88	FLNC	na	8622	0.16570700705051422	0.56037873	Yes	
row_89	ITGB6	na	8786	0.16415457427501678	0.5628341	Yes	
row_90	PRKCA	na	8905	0.16299061477184296	0.56602556	Yes	
row_91	SHC1	na	9007	0.16214421391487122	0.569482	Yes	
row_92	RAF1	na	9162	0.16063548624515533	0.5719794	Yes	
row_93	BIRC3	na	9365	0.1588924527168274	0.57359606	Yes	
row_94	CAV1	na	9448	0.1582077145576477	0.577253	Yes	
row_95	PRKCG	na	9587	0.1568475365638733	0.579904	Yes	
row_96	CAV2	na	9649	0.1563241332769394	0.58386153	Yes	
row_97	ROCK2	na	9952	0.1537041813135147	0.58359355	Yes	
row_98	ITGA6	na	9965	0.15356850624084473	0.58830494	Yes	
row_99	THBS1	na	10464	0.14922134578227997	0.5845251	Yes	
row_100	PDGFB	na	11035	0.14472472667694092	0.579364	Yes	
row_101	ARHGAP35	na	11186	0.14355240762233734	0.58138305	Yes	
row_102	ITGA4	na	11271	0.14286088943481445	0.5845142	Yes	
row_103	MYL12A	na	11275	0.1428205668926239	0.58903605	Yes	
row_104	DOCK1	na	11403	0.14174005389213562	0.59139234	Yes	
row_105	SHC3	na	12048	0.13676226139068604	0.5847045	Yes	
row_106	MYL12B	na	12456	0.13373994827270508	0.5819928	Yes	
row_107	PIK3R5	na	12560	0.13303735852241516	0.5844829	Yes	
row_108	VAV2	na	12630	0.1326349675655365	0.5875443	Yes	
row_109	IBSP	na	12648	0.1324738711118698	0.59149426	Yes	
row_110	LAMB3	na	12803	0.1314408928155899	0.5930568	Yes	
row_111	BCL2	na	12831	0.1312854140996933	0.5967968	Yes	
row_112	PIK3CD	na	12995	0.1302088499069214	0.59816515	Yes	
row_113	HRAS	na	14039	0.12358449399471283	0.58419853	No	
row_114	PIK3CG	na	14152	0.12290654331445694	0.58620954	No	
row_115	PDGFD	na	14231	0.12242762744426727	0.58878946	No	
row_116	VAV1	na	14895	0.11845727264881134	0.581189	No	
row_117	PDGFRB	na	14958	0.11810430139303207	0.58390546	No	
row_118	COL6A2	na	14959	0.11810275167226791	0.5876874	No	
row_119	PDGFC	na	15077	0.11737431585788727	0.5894353	No	
row_120	THBS2	na	15284	0.11606796085834503	0.5896118	No	
row_121	COL6A1	na	15940	0.11230136454105377	0.58195174	No	
row_122	COL4A6	na	16114	0.11128702759742737	0.58254236	No	
row_123	ITGA8	na	16185	0.11093898117542267	0.58489186	No	
row_124	CAV3	na	16906	0.10718049854040146	0.57595074	No	
row_125	MYLK3	na	17576	0.1037798747420311	0.56777716	No	
row_126	PDPK1	na	18135	0.10095327347517014	0.5614206	No	
row_127	COL11A2	na	18252	0.1004122942686081	0.5626426	No	
row_128	PARVG	na	18460	0.09929199516773224	0.56226474	No	
row_129	PAK6	na	18601	0.09859248995780945	0.563016	No	
row_130	MAPK10	na	18622	0.0985058844089508	0.56582665	No	
row_131	RAC2	na	18697	0.0981389656662941	0.5676975	No	
row_132	COL4A4	na	18887	0.09710457175970078	0.56755906	No	
row_133	JUN	na	18932	0.09685703366994858	0.56990445	No	
row_134	VAV3	na	19658	0.09319211542606354	0.56042945	No	
row_135	RAC3	na	19732	0.09283576905727386	0.56214774	No	
row_136	DIAPH1	na	21360	0.0852932333946228	0.5369189	No	
row_137	PRKCB	na	21723	0.0836077481508255	0.53337514	No	
row_138	BAD	na	22413	0.0803399458527565	0.5241073	No	
row_139	PTEN	na	22482	0.07999884337186813	0.5255004	No	
row_140	AKT2	na	22612	0.0794263482093811	0.52582693	No	
row_141	ITGA2B	na	24331	0.07155957072973251	0.49859443	No	
row_142	HGF	na	25375	0.06659398227930069	0.48280287	No	
row_143	FLT1	na	25394	0.0665026605129242	0.48462307	No	
row_144	CRK	na	25678	0.06503079831600189	0.4818421	No	
row_145	CCND1	na	26072	0.06335025280714035	0.47711697	No	
row_146	PIK3R2	na	27892	0.05498205125331879	0.44761795	No	
row_147	THBS3	na	28681	0.051572252064943314	0.43572754	No	
row_148	LAMB2	na	28839	0.05086591839790344	0.43465832	No	
row_149	PDGFRA	na	29089	0.04964881390333176	0.43196908	No	
row_150	CCND2	na	29509	0.04772411659359932	0.42629677	No	
row_151	ITGA1	na	29958	0.04562956839799881	0.420059	No	
row_152	VEGFC	na	30158	0.0447160005569458	0.41807106	No	
row_153	MYL7	na	30748	0.041801583021879196	0.4092876	No	
row_154	COL2A1	na	31853	0.03655204176902771	0.39148575	No	
row_155	IGF1	na	33160	0.03053293190896511	0.37001976	No	
row_156	ITGA9	na	34829	0.023005042225122452	0.3420917	No	
row_157	ITGA7	na	34935	0.022417111322283745	0.34100512	No	
row_158	LAMA2	na	35203	0.02113071084022522	0.33709335	No	
row_159	PGF	na	35380	0.020299486815929413	0.3347188	No	
row_160	MET	na	36063	0.01716463454067707	0.32354823	No	
row_161	SHC2	na	36242	0.016370421275496483	0.32101348	No	
row_162	COL6A6	na	36687	0.014325021766126156	0.31384203	No	
row_163	ERBB2	na	36856	0.013586455024778843	0.31138998	No	
row_164	EGFR	na	37526	0.010830597020685673	0.30023998	No	
row_165	ITGB7	na	37966	0.008952178992331028	0.2929824	No	
row_166	SHC4	na	38015	0.008745156228542328	0.29243755	No	
row_167	RELN	na	38027	0.00871209055185318	0.2925275	No	
row_168	RASGRF1	na	38138	0.008281169459223747	0.29090232	No	
row_169	COL11A1	na	38198	0.008073799312114716	0.29014695	No	
row_170	PIK3R3	na	38239	0.00792722124606371	0.28971338	No	
row_171	ACTN3	na	39930	0.002174088731408119	0.26074022	No	
row_172	TNN	na	46084	-0.004138051997870207	0.1551329	No	
row_173	ITGA10	na	46176	-0.004469648469239473	0.1537122	No	
row_174	LAMC3	na	47395	-0.009781457483768463	0.13309398	No	
row_175	PARVB	na	48153	-0.01413312740623951	0.12053745	No	
row_176	LAMA3	na	48891	-0.018556248396635056	0.10846625	No	
row_177	MYL10	na	48893	-0.018571022897958755	0.10904375	No	
row_178	PAK3	na	49728	-0.024235248565673828	0.09548745	No	
row_179	MYLK	na	49789	-0.024713978171348572	0.09524774	No	
row_180	THBS4	na	51536	-0.038004182279109955	0.06645955	No	
row_181	ACTN2	na	51850	-0.04067433252930641	0.062383093	No	
row_182	MYL9	na	52899	-0.04989026114344597	0.04597071	No	
row_183	LAMB4	na	53153	-0.0523785836994648	0.04330015	No	
row_184	TNR	na	53996	-0.06090844050049782	0.030780723	No	
row_185	FYN	na	54063	-0.061764657497406006	0.031624336	No	
row_186	COL5A3	na	54247	-0.06374608725309372	0.03052074	No	
row_187	TNXB	na	54745	-0.06981396675109863	0.024215337	No	
row_188	MYLPF	na	54954	-0.07276912033557892	0.02297105	No	
row_189	MYL2	na	55282	-0.07792660593986511	0.019846894	No	
row_190	FLT4	na	55613	-0.08326917141675949	0.016842261	No	
row_191	VWF	na	56292	-0.09847065061330795	0.008344001	No	
row_192	PIK3R1	na	56949	-0.11986180394887924	9.088E-4	No	
row_193	MYL5	na	57124	-0.12670406699180603	0.0019759112	No	
row_194	KDR	na	57656	-0.16270798444747925	-0.0019391346	No	
row_195	CHAD	na	58070	-0.21306683123111725	-0.0022137505	No	
row_196	VTN	na	58183	-0.23817606270313263	0.003488391	No	
