NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PSPH	na	2640	0.2589433491230011	0.008287824	No	
row_1	PHGDH	na	9367	0.15887998044490814	-0.07412743	No	
row_2	SHMT2	na	11394	0.14182327687740326	-0.07952841	No	
row_3	AOC2	na	26587	0.0610477589070797	-0.32724208	No	
row_4	PSAT1	na	28328	0.05291450768709183	-0.34612086	No	
row_5	DLD	na	28461	0.05231871455907822	-0.3375678	No	
row_6	MAOA	na	37848	0.009439082816243172	-0.49645695	No	
row_7	AOC3	na	37903	0.009181521832942963	-0.49548435	No	
row_8	ALAS2	na	53596	-0.05665384605526924	-0.7526744	Yes	
row_9	GCAT	na	53598	-0.05668128654360771	-0.7409747	Yes	
row_10	SRR	na	55092	-0.07478219270706177	-0.7511005	Yes	
row_11	GLDC	na	55495	-0.08100101351737976	-0.7412451	Yes	
row_12	CHDH	na	56055	-0.0920884907245636	-0.7317882	Yes	
row_13	CBS	na	56177	-0.09490251541137695	-0.71424395	Yes	
row_14	AMT	na	56712	-0.11099367588758469	-0.70045066	Yes	
row_15	GATM	na	56760	-0.11251088231801987	-0.6779984	Yes	
row_16	BHMT	na	57608	-0.15881305932998657	-0.65968376	Yes	
row_17	MAOB	na	57653	-0.16266489028930664	-0.6268126	Yes	
row_18	GAMT	na	57812	-0.17555752396583557	-0.5932298	Yes	
row_19	DAO	na	57825	-0.17699827253818512	-0.5568473	Yes	
row_20	GLYCTK	na	57992	-0.20004810392856598	-0.518339	Yes	
row_21	SHMT1	na	58012	-0.20244644582271576	-0.4768159	Yes	
row_22	GNMT	na	58038	-0.20731832087039948	-0.43438858	Yes	
row_23	CTH	na	58074	-0.21386517584323883	-0.3907793	Yes	
row_24	ALAS1	na	58086	-0.2149244248867035	-0.34653974	Yes	
row_25	AGXT2	na	58122	-0.2226409912109375	-0.30111635	Yes	
row_26	DMGDH	na	58181	-0.23735462129116058	-0.25304556	Yes	
row_27	AGXT	na	58314	-0.29206740856170654	-0.19493292	Yes	
row_28	SDS	na	58338	-0.3048028349876404	-0.13231984	Yes	
row_29	PIPOX	na	58344	-0.31281930208206177	-0.06774118	Yes	
row_30	SARDH	na	58360	-0.33110225200653076	4.4547225E-4	Yes	
