NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CDC42	na	37	0.4114205837249756	0.010320837	Yes	
row_1	NRAS	na	162	0.3740754723548889	0.018150177	Yes	
row_2	RAP1B	na	365	0.3504917621612549	0.02400938	Yes	
row_3	RAP1A	na	482	0.341221421957016	0.031101357	Yes	
row_4	MAPKAPK5	na	613	0.33275991678237915	0.0377271	Yes	
row_5	STK4	na	781	0.3225441575050354	0.04344416	Yes	
row_6	MAPK7	na	787	0.3223063349723816	0.051942177	Yes	
row_7	GRB2	na	815	0.3201977014541626	0.060005512	Yes	
row_8	CDC25B	na	867	0.3174113631248474	0.067581706	Yes	
row_9	PAK1	na	883	0.316375732421875	0.07574972	Yes	
row_10	MAPT	na	979	0.3121224641799927	0.082428016	Yes	
row_11	MAPK1	na	1016	0.3104206919670105	0.090076104	Yes	
row_12	CACNB1	na	1020	0.3103258013725281	0.09828945	Yes	
row_13	STK3	na	1145	0.3051004111766815	0.10428177	Yes	
row_14	MAP3K7	na	1177	0.30402660369873047	0.1118456	Yes	
row_15	STMN1	na	1187	0.303683340549469	0.1197788	Yes	
row_16	DAXX	na	1253	0.30070993304252625	0.1266693	Yes	
row_17	GNG12	na	1268	0.30000483989715576	0.13441852	Yes	
row_18	MKNK1	na	1317	0.29848015308380127	0.14154212	Yes	
row_19	PPP3CB	na	1326	0.2980905771255493	0.14934358	Yes	
row_20	TAOK1	na	1551	0.2903585433959961	0.15322272	Yes	
row_21	RASA1	na	1591	0.28878435492515564	0.16024296	Yes	
row_22	DDIT3	na	1627	0.28743937611579895	0.16729619	Yes	
row_23	GNA12	na	1642	0.28684771060943604	0.17469499	Yes	
row_24	MAPKAPK3	na	1766	0.28314870595932007	0.18011986	Yes	
row_25	RASA2	na	1790	0.28246232867240906	0.18724701	Yes	
row_26	RRAS2	na	2126	0.2732813358306885	0.18876152	Yes	
row_27	RELA	na	2145	0.2727941572666168	0.1957172	Yes	
row_28	MAPK9	na	2218	0.27086499333381653	0.2016924	Yes	
row_29	CASP3	na	2237	0.27033108472824097	0.20858248	Yes	
row_30	ATF2	na	2301	0.26837509870529175	0.21464622	Yes	
row_31	PPP5C	na	2515	0.26266664266586304	0.21797709	Yes	
row_32	NFKB1	na	2550	0.26157209277153015	0.2243586	Yes	
row_33	PAK2	na	2598	0.2598319947719574	0.2304701	Yes	
row_34	RPS6KA4	na	2600	0.25982439517974854	0.23737285	Yes	
row_35	DUSP4	na	2654	0.25860702991485596	0.24334848	Yes	
row_36	FLNA	na	2676	0.2579323947429657	0.24985673	Yes	
row_37	PRKACB	na	2681	0.25772905349731445	0.25665206	Yes	
row_38	MAP3K1	na	2756	0.25586456060409546	0.26219332	Yes	
row_39	SOS2	na	2788	0.25475338101387024	0.26844487	Yes	
row_40	HSPA8	na	2921	0.2516997456550598	0.2728773	Yes	
row_41	RPS6KA1	na	3143	0.24632461369037628	0.2756353	Yes	
row_42	MAPK8	na	3406	0.24040599167346954	0.27753022	Yes	
row_43	MAPK3	na	3484	0.238801971077919	0.28256547	Yes	
row_44	MECOM	na	3520	0.2381102293729782	0.28830492	Yes	
row_45	MAP2K1	na	3612	0.2363467812538147	0.29303387	Yes	
row_46	CRKL	na	3860	0.23146434128284454	0.29494876	Yes	
row_47	MAP3K12	na	3996	0.22881276905536652	0.29872003	Yes	
row_48	RAC1	na	4020	0.22844356298446655	0.3044085	Yes	
row_49	TRAF2	na	4038	0.22808317840099335	0.31019056	Yes	
row_50	MAX	na	4126	0.2264460176229477	0.31472468	Yes	
row_51	MAP4K3	na	4262	0.22391173243522644	0.31836542	Yes	
row_52	LAMTOR3	na	4301	0.223235085606575	0.32365707	Yes	
row_53	MAPKAPK2	na	4335	0.22253724932670593	0.32901615	Yes	
row_54	MAPK14	na	4361	0.22220347821712494	0.334504	Yes	
row_55	CACNB3	na	4534	0.21903641521930695	0.3373783	Yes	
row_56	FLNB	na	4571	0.21847960352897644	0.34257773	Yes	
row_57	NFATC2	na	4738	0.2158111184835434	0.34546933	Yes	
row_58	PPP3CA	na	4899	0.21311162412166595	0.3483923	Yes	
row_59	MAP3K3	na	4903	0.2129739224910736	0.35401285	Yes	
row_60	MAP4K2	na	4916	0.21287555992603302	0.35947594	Yes	
row_61	IL1A	na	5042	0.21090136468410492	0.36294225	Yes	
row_62	AKT1	na	5143	0.20931965112686157	0.36679652	Yes	
row_63	DUSP7	na	5237	0.2078627645969391	0.3707325	Yes	
row_64	FGF9	na	5249	0.20764972269535065	0.3760736	Yes	
row_65	NF1	na	5310	0.2067233771085739	0.38054696	Yes	
row_66	PRKX	na	5334	0.20633676648139954	0.38564664	Yes	
row_67	NLK	na	5348	0.20613493025302887	0.39091298	Yes	
row_68	ELK1	na	5359	0.20603179931640625	0.39622822	Yes	
row_69	RPS6KA3	na	5393	0.20555071532726288	0.4011349	Yes	
row_70	MAPK13	na	5452	0.2045329213142395	0.40558437	Yes	
row_71	ATF4	na	5458	0.20449399948120117	0.41094464	Yes	
row_72	IKBKB	na	5589	0.20279820263385773	0.4141091	Yes	
row_73	TGFB2	na	5785	0.19996824860572815	0.41607982	Yes	
row_74	AKT3	na	5937	0.19814778864383698	0.4187591	Yes	
row_75	KRAS	na	6046	0.1965983361005783	0.42213696	Yes	
row_76	SRF	na	6143	0.19536307454109192	0.42568836	Yes	
row_77	IL1B	na	6225	0.19424878060817719	0.42946818	Yes	
row_78	TGFBR1	na	6314	0.1929120570421219	0.43309197	Yes	
row_79	MAP3K14	na	6395	0.19186867773532867	0.4368256	Yes	
row_80	MAP2K7	na	6438	0.19137293100357056	0.44119984	Yes	
row_81	CACNA1D	na	6825	0.18635721504688263	0.43952182	Yes	
row_82	BRAF	na	6831	0.18630686402320862	0.44439772	Yes	
row_83	PDGFA	na	6986	0.18421722948551178	0.44665438	Yes	
