NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CH25H	na	33612	0.028462549671530724	-0.56299376	No	
row_1	HSD3B7	na	47922	-0.012707100249826908	-0.8024001	No	
row_2	CYP7B1	na	48080	-0.013614141382277012	-0.79894817	No	
row_3	CYP46A1	na	49269	-0.020854612812399864	-0.8098927	No	
row_4	AMACR	na	52928	-0.050141725689172745	-0.84994066	No	
row_5	CYP7A1	na	56324	-0.0992131233215332	-0.8633457	Yes	
row_6	AKR1C4	na	56795	-0.11341351270675659	-0.82023406	Yes	
row_7	HSD17B4	na	57408	-0.14393827319145203	-0.7657847	Yes	
row_8	CYP39A1	na	57438	-0.14600606262683868	-0.7004146	Yes	
row_9	AKR1D1	na	57752	-0.17072589695453644	-0.6287583	Yes	
row_10	BAAT	na	57813	-0.175577312707901	-0.550579	Yes	
row_11	SCP2	na	57861	-0.18132787942886353	-0.46958283	Yes	
row_12	ACOX2	na	58170	-0.2349974662065506	-0.3688464	Yes	
row_13	CYP27A1	na	58256	-0.25796639919281006	-0.2539277	Yes	
row_14	CYP8B1	na	58259	-0.259456992149353	-0.13691466	Yes	
row_15	SLC27A5	na	58341	-0.30828142166137695	7.708797E-4	Yes	
