NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IL4I1	na	6206	0.1945720911026001	-0.07333698	No	
row_1	WARS2	na	6316	0.1928476095199585	-0.042472936	No	
row_2	AANAT	na	13390	0.12761695683002472	-0.14203337	No	
row_3	OGDH	na	16378	0.10997270792722702	-0.17456047	No	
row_4	KYNU	na	16714	0.10818716883659363	-0.16193922	No	
row_5	TPH1	na	19686	0.09308896958827972	-0.19705778	No	
row_6	TPH2	na	26124	0.0631018579006195	-0.2966683	No	
row_7	HADHA	na	28211	0.05349316447973251	-0.32333988	No	
row_8	CYP1B1	na	28899	0.050523318350315094	-0.3265387	No	
row_9	IDO1	na	29299	0.04863882064819336	-0.3251215	No	
row_10	AOC1	na	31772	0.03706644847989082	-0.36119667	No	
row_11	MAOA	na	37848	0.009439082816243172	-0.46371123	No	
row_12	ACAT2	na	47904	-0.01261016633361578	-0.633899	No	
row_13	CYP1A2	na	51862	-0.04082033038139343	-0.6947878	No	
row_14	DDC	na	52204	-0.04356364160776138	-0.69323796	No	
row_15	ASMT	na	52997	-0.05083433538675308	-0.69818354	No	
row_16	CYP1A1	na	54291	-0.06429070234298706	-0.7094315	Yes	
row_17	ALDH9A1	na	54623	-0.06828180700540543	-0.7035149	Yes	
row_18	ALDH3A2	na	54699	-0.06933239102363586	-0.69303244	Yes	
row_19	TDO2	na	55462	-0.08058140426874161	-0.6924149	Yes	
row_20	ALDH1B1	na	56636	-0.10808310657739639	-0.6941734	Yes	
row_21	AOX1	na	57172	-0.1291862577199936	-0.6814157	Yes	
row_22	IDO2	na	57411	-0.14396463334560394	-0.66105944	Yes	
row_23	INMT	na	57505	-0.15138137340545654	-0.63695925	Yes	
row_24	AADAT	na	57643	-0.16164492070674896	-0.6118711	Yes	
row_25	MAOB	na	57653	-0.16266489028930664	-0.58441615	Yes	
row_26	HADH	na	57821	-0.17661148309707642	-0.55730194	Yes	
row_27	AFMID	na	57854	-0.18066246807575226	-0.5271864	Yes	
row_28	ALDH7A1	na	58101	-0.21808752417564392	-0.49438635	Yes	
row_29	KMO	na	58190	-0.23929812014102936	-0.45527834	Yes	
row_30	EHHADH	na	58229	-0.25002413988113403	-0.41349283	Yes	
row_31	ACMSD	na	58270	-0.2648858428001404	-0.36921912	Yes	
row_32	OGDHL	na	58284	-0.2720799744129181	-0.32326162	Yes	
row_33	CAT	na	58308	-0.2874894142150879	-0.27486005	Yes	
row_34	HAAO	na	58316	-0.293113648891449	-0.22522967	Yes	
row_35	ACAT1	na	58342	-0.3084767162799835	-0.17330018	Yes	
row_36	GCDH	na	58355	-0.32943016290664673	-0.11759145	Yes	
row_37	ALDH2	na	58369	-0.34469106793403625	-0.059309613	Yes	
row_38	ECHS1	na	58376	-0.35104942321777344	1.7139933E-4	Yes	
