NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BCAT1	na	3894	0.23074717819690704	-0.03268898	No	
row_1	IL4I1	na	6206	0.1945720911026001	-0.04358441	No	
row_2	OXCT1	na	16564	0.1089266836643219	-0.20502539	No	
row_3	OXCT2	na	21473	0.0848139226436615	-0.27663052	No	
row_4	HADHA	na	28211	0.05349316447973251	-0.38420644	No	
row_5	DLD	na	28461	0.05231871455907822	-0.38075316	No	
row_6	HMGCS1	na	30513	0.04292507469654083	-0.40957195	No	
row_7	MCCC1	na	31257	0.03954927995800972	-0.41647017	No	
row_8	PCCA	na	32006	0.03592419996857643	-0.4239891	No	
row_9	BCAT2	na	37230	0.01201499905437231	-0.5117367	No	
row_10	ACAT2	na	47904	-0.01261016633361578	-0.692808	No	
row_11	ACAD8	na	51620	-0.03865257278084755	-0.7507778	No	
row_12	HADHB	na	53097	-0.051861874759197235	-0.76842237	No	
row_13	ACADM	na	54174	-0.06298226863145828	-0.77756995	Yes	
row_14	ALDH9A1	na	54623	-0.06828180700540543	-0.7751717	Yes	
row_15	ALDH3A2	na	54699	-0.06933239102363586	-0.7662253	Yes	
row_16	MCCC2	na	55124	-0.07531814277172089	-0.76237726	Yes	
row_17	HIBADH	na	55531	-0.08160898834466934	-0.75729233	Yes	
row_18	BCKDHA	na	55734	-0.08551262319087982	-0.7481348	Yes	
row_19	AUH	na	56096	-0.09303727746009827	-0.74059206	Yes	
row_20	DBT	na	56404	-0.10142512619495392	-0.73088586	Yes	
row_21	ALDH1B1	na	56636	-0.10808310657739639	-0.7188945	Yes	
row_22	ACAA2	na	56895	-0.1175195500254631	-0.7059733	Yes	
row_23	AOX1	na	57172	-0.1291862577199936	-0.6916389	Yes	
row_24	HIBCH	na	57671	-0.1634410321712494	-0.67605424	Yes	
row_25	BCKDHB	na	57706	-0.16645632684230804	-0.6520718	Yes	
row_26	ACADSB	na	57743	-0.17004083096981049	-0.6275946	Yes	
row_27	HADH	na	57821	-0.17661148309707642	-0.60285044	Yes	
row_28	HSD17B10	na	57976	-0.19765575230121613	-0.5763204	Yes	
row_29	ACADS	na	58060	-0.21151016652584076	-0.5465289	Yes	
row_30	ALDH7A1	na	58101	-0.21808752417564392	-0.51502967	Yes	
row_31	HMGCL	na	58139	-0.2262834757566452	-0.48226947	Yes	
row_32	ACAA1	na	58142	-0.22668004035949707	-0.44885087	Yes	
row_33	ALDH6A1	na	58169	-0.23479843139648438	-0.41464552	Yes	
row_34	ABAT	na	58206	-0.2436169683933258	-0.37931016	Yes	
row_35	EHHADH	na	58229	-0.25002413988113403	-0.3427893	Yes	
row_36	MCEE	na	58311	-0.28958719968795776	-0.30144104	Yes	
row_37	ACAT1	na	58342	-0.3084767162799835	-0.256431	Yes	
row_38	PCCB	na	58354	-0.3292420208454132	-0.20803082	Yes	
row_39	ALDH2	na	58369	-0.34469106793403625	-0.15740211	Yes	
row_40	HMGCS2	na	58370	-0.3451618254184723	-0.10646398	Yes	
row_41	ECHS1	na	58376	-0.35104942321777344	-0.05474268	Yes	
row_42	IVD	na	58382	-0.37198641896247864	6.846311E-5	Yes	
